統合順位,統合10社順位,コード,銘柄,旧候補,統合扱い,4項目合計,総合スコア100点換算,既存選定スコア,長期安定性,S&P比較,下落耐性,5年CAGR,10年CAGR,直近1年,60日,5年S&P差,直近1年S&P差,5年最大下落,直近1年最大下落,理由
1,1,8316.T,三井住友FG,旧候補,候補,307.7,76.9,69,83.6,78.3,76.8,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,旧候補にも残り、追加指標でも候補圏を維持。
2,2,8306.T,三菱UFJ FG,旧候補,候補,299.6,74.9,64,81.6,76.3,77.8,41.3,23,57.1,3.9,29,29.6,-31.8,-16.9,旧候補にも残り、追加指標でも候補圏を維持。
3,3,8725.T,MS&AD,,候補,291.5,72.9,60,78.5,67.2,85.9,36.3,20.1,34.7,1,23.9,7.2,-32.6,-12,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
5,4,8411.T,みずほFG,,候補,284.9,71.2,66,79.5,80.8,58.6,38.3,20.1,82.1,2.3,26,54.6,-33.4,-24.6,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
6,5,6503.T,三菱電機,,候補,283.4,70.8,58,70.3,81.3,73.7,33.3,20,128.8,12.3,20.9,101.3,-34,-16.3,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
8,6,8750.T,第一生命HD,,候補,279.7,69.9,63,67.7,64.6,84.3,27.4,20.4,55.7,5.1,15.1,28.1,-29.1,-15.7,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
10,7,8058.T,三菱商事,旧候補,候補,277.8,69.4,43,78.2,82.3,74.2,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,旧候補にも残り、追加指標でも候補圏を維持。
11,8,9983.T,ファーストリテイリング,,候補,262.6,65.7,61,59.2,66.7,75.8,22.4,24.3,67.4,15.4,10,39.9,-37.9,-12.2,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
12,9,7012.T,川崎重工業,,候補,261.9,65.5,69,63.6,80.8,48.5,45.3,18.7,59.2,-11.6,32.9,31.7,-42.6,-23.1,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
13,10,6971.T,京セラ,,候補,260.5,65.1,55,57.5,69.7,78.3,16.4,11.4,92.3,20.3,4,64.8,-32.9,-16,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
