base_date,channel,channel_name,ticker,name,category,start_date,end_date,price_base,price_1y,return_1y,max_drawdown_1y,sp500_return_1y,nikkei_return_1y,excess_vs_sp500,excess_vs_nikkei,pass_fail,fail_reason,data_source,error
2023-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2023-06-01,2024-05-31,1719.73,3201.62,86.17,-13.41,25.03,23.56,61.14,62.61,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2023-06-01,2024-05-31,874.23,1547.81,77.05,-9.82,25.03,23.56,52.02,53.48,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2023-06-01,2024-05-31,1420.07,3013.35,112.20,-8.57,25.03,23.56,87.17,88.63,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8411.T,みずほFG,条件付き,2023-06-01,2024-05-31,1870.64,3009.82,60.90,-12.63,25.03,23.56,35.87,37.33,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,6503.T,三菱電機,条件付き,2023-06-01,2024-05-31,1752.93,2647.07,51.01,-19.31,25.03,23.56,25.98,27.44,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2023-06-01,2024-05-31,4428.23,5265.90,18.92,-34.18,25.03,23.56,-6.11,-4.65,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2023-06-01,2024-05-31,20025.02,60256.92,200.91,-19.82,25.03,23.56,175.88,177.34,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2023-06-01,2024-05-31,18623.68,32168.77,72.73,-18.10,25.03,23.56,47.70,49.17,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2023-06-01,2024-05-31,3455.29,7153.20,107.02,-25.00,25.03,23.56,81.99,83.46,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2023-06-01,2024-05-31,21376.26,39384.21,84.24,-22.96,25.03,23.56,59.21,60.68,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2023-06-01,2024-05-31,571.99,1346.64,135.43,-17.76,25.03,23.56,110.40,111.86,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2023-06-01,2024-05-31,1752.93,2647.07,51.01,-19.31,25.03,23.56,25.98,27.44,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2023-06-01,2024-05-31,1547.28,3156.25,103.99,-13.73,25.03,23.56,78.96,80.42,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2023-06-01,2024-05-31,174.04,521.62,199.72,-16.16,25.03,23.56,174.69,176.15,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2023-06-01,2024-05-31,2252.13,4110.36,82.51,-22.17,25.03,23.56,57.48,58.95,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2024-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2024-06-03,2025-05-30,3249.85,3577.29,10.08,-29.43,11.89,-2.46,-1.82,12.54,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2024-06-03,2025-05-30,1583.28,1958.40,23.69,-31.85,11.89,-2.46,11.80,26.15,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2024-06-03,2025-05-30,3108.86,3311.31,6.51,-32.62,11.89,-2.46,-5.38,8.97,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8411.T,みずほFG,条件付き,2024-06-03,2025-05-30,3074.43,3900.11,26.86,-33.45,11.89,-2.46,14.96,29.32,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,6503.T,三菱電機,条件付き,2024-06-03,2025-05-30,2671.31,2868.75,7.39,-33.95,11.89,-2.46,-4.50,9.85,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2024-06-03,2025-05-30,5305.54,7342.24,38.39,-51.37,11.89,-2.46,26.50,40.85,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2024-06-03,2025-05-30,58787.01,32593.95,-44.56,-65.16,11.89,-2.46,-56.45,-42.09,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2024-06-03,2025-05-30,32723.57,22560.29,-31.06,-54.02,11.89,-2.46,-42.95,-28.60,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2024-06-03,2025-05-30,7336.74,5082.21,-30.73,-51.14,11.89,-2.46,-42.62,-28.27,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2024-06-03,2025-05-30,39004.86,14378.67,-63.14,-73.52,11.89,-2.46,-75.03,-60.68,FAIL,+1%超過未達,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2024-06-03,2025-05-30,1368.29,3332.09,143.52,-35.79,11.89,-2.46,131.63,145.98,PASS,,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
