updated_at,source,series_type,industry,latest_month,latest_index,previous_month_index,mom_point_change,same_month_last_year_index,yoy_point_change,interpretation
2026/05/20 00:30,METI 鉱工業指数,出荷,プラスチック製品工業,2026-03,99.5,97.6,1.9,97.1,2.4,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,化学工業,2026-03,92.4,92.9,-0.5,95,-2.6,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,出荷,化学工業（除．医薬品）,2026-03,82.6,84.8,-2.2,87.8,-5.2,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,出荷,鉱工業,2026-03,99.7,100.6,-0.9,99.3,0.4,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,食料品・たばこ工業,2026-03,94.7,97.7,-3,98.7,-4,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,出荷,生産用機械工業,2026-03,121,120.4,0.6,119.8,1.2,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,製造工業,2026-03,99.7,100.6,-0.9,99.3,0.4,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,電気・情報通信機械工業,2026-03,100,100.8,-0.8,95.5,4.5,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,電子部品・デバイス工業,2026-03,105.8,104.3,1.5,101,4.8,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,出荷,半導体・フラットパネルディスプレイ製造装置,2026-03,148.2,149.4,-1.2,153.9,-5.7,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,出荷,輸送機械工業,2026-03,106.9,110.2,-3.3,104.6,2.3,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,プラスチック製品工業,2026-03,101,98.8,2.2,98.6,2.4,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,化学工業,2026-03,97.7,98.9,-1.2,99,-1.3,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,生産,化学工業（除．医薬品）,2026-03,86.3,90,-3.7,90.9,-4.6,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,生産,鉱工業,2026-03,102,102.4,-0.4,101.4,0.6,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,食料品・たばこ工業,2026-03,95.7,97.8,-2.1,98.6,-2.9,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,生産,生産用機械工業,2026-03,122.6,120.9,1.7,122.3,0.3,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2026-03,102.1,102.4,-0.3,101.5,0.6,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,電気・情報通信機械工業,2026-03,101,100.1,0.9,98.4,2.6,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,電子部品・デバイス工業,2026-03,109.3,107.5,1.8,107.9,1.4,前年同月より強い
2026/05/20 00:30,METI 鉱工業指数,生産,半導体・フラットパネルディスプレイ製造装置,2026-03,156.2,148.5,7.7,159.7,-3.5,前年同月より弱い
2026/05/20 00:30,METI 鉱工業指数,生産,輸送機械工業,2026-03,111.3,110.9,0.4,105.4,5.9,前年同月より強い
