priority,base_date,ticker,name,channel,current_category,source_start,document_type,focus,required_fields,method,status,use_rule
1,2025-06-01,8316.T,三井住友FG,総合,購入検討候補,三井住友フィナンシャルグループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,8306.T,三菱UFJ FG,総合,購入検討候補,三菱UFJフィナンシャル・グループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,8725.T,MS&AD,総合,購入検討候補,MS&ADインシュアランスグループ IR,有価証券報告書 / 決算短信,保険は自然災害損失・コンバインドレシオも確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,8411.T,みずほFG,総合,条件付き,みずほフィナンシャルグループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,6503.T,三菱電機,総合 / データセンター・電力・冷却・電線,条件付き / 購入検討候補,三菱電機 IR,有価証券報告書 / 決算短信,FA・電力・社会インフラの受注説明を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,6857.T,アドバンテスト,半導体製造装置・材料,条件付き,アドバンテスト IR,有価証券報告書 / 決算短信,高PER説明、受注、半導体テスター需要を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,6146.T,ディスコ,半導体製造装置・材料,条件付き,ディスコ IR,有価証券報告書 / 決算短信,装置サイクル・利益率・受注見通しを確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,8035.T,東京エレクトロン,半導体製造装置・材料,観察,東京エレクトロン IR,有価証券報告書 / 決算短信,前工程装置の受注・地域別売上を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,7735.T,SCREEN HD,半導体製造装置・材料,観察,SCREENホールディングス IR,有価証券報告書 / 決算短信,洗浄装置需要と半導体設備投資を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,6920.T,レーザーテック,半導体製造装置・材料,観察,レーザーテック IR,有価証券報告書 / 決算短信,EUV検査需要と高PER説明を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,7011.T,三菱重工業,データセンター・電力・冷却・電線,購入検討候補,三菱重工業 IR,有価証券報告書 / 決算短信,防衛・電力・エネルギー受注残を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,6501.T,日立製作所,データセンター・電力・冷却・電線,購入検討候補,日立製作所 IR,有価証券報告書 / 決算短信,送配電・デジタル・社会インフラ受注を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,5803.T,フジクラ,データセンター・電力・冷却・電線,条件付き,フジクラ IR,有価証券報告書 / 決算短信,光ファイバー・データセンター需要を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
1,2025-06-01,5801.T,古河電工,データセンター・電力・冷却・電線,条件付き,古河電気工業 IR,有価証券報告書 / 決算短信,光ファイバー・電力線・急騰反動を確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
2,2024-06-01,8316.T,三井住友FG,総合,購入検討候補,三井住友フィナンシャルグループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
2,2024-06-01,8306.T,三菱UFJ FG,総合,購入検討候補,三菱UFJフィナンシャル・グループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
2,2024-06-01,8725.T,MS&AD,総合,購入検討候補,MS&ADインシュアランスグループ IR,有価証券報告書 / 決算短信,保険は自然災害損失・コンバインドレシオも確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
2,2024-06-01,8411.T,みずほFG,総合,条件付き,みずほフィナンシャルグループ IR,有価証券報告書 / 決算短信,銀行指標は自己資本比率・与信費用も確認,PER/PBR/ROE、売上成長、利益成長、EPS、直近決算、還元情報,基準日以前に公表済みの資料だけを使用。現在値で埋めない。,未着手,確認済みになるまで本検証には使わない
