updated_at,source,date,area,peak_area_demand_mw,min_area_reserve_mw,avg_area_demand_mw
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,東京,36880,2874,29733
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,関西,17902,748,14902
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,中部,17440,1241,14473
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,九州,11100,671,9263
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,東北,9932,291,8435
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,中国,6805,456,5984
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,北海道,3539,50,2963
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,北陸,3430,144,2923
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,四国,3131,1419,2654
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,沖縄,1129,373,935
