no,base_date,ticker,name,channel,source_start,edinet_code,document_to_check,source_url,disclosed_before_base,revenue_current,revenue_previous,revenue_growth_pct,profit_current,profit_previous,profit_growth_pct,eps_current,roe_pct,per_asof,pbr_asof,dividend_or_buyback,verification_status,use_in_backtest,note
1,2025-06-01,8316.T,三井住友FG,総合,三井住友フィナンシャルグループ IR,E03614,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.smfg.co.jp/investor/financial/latest_statement/2025_3/2025_fy_01.pdf,確認済み 2025-05-14公表,10174894百万円,9353590百万円,8.8,1177996百万円,962946百万円,22.3,301.55,8.0,11.73,0.93,配当性向40.3%。2025-05-14に自己株式取得を決議。,確認済み,使用可,2025-05-14公表の2025年3月期決算短信で確認。PER/PBRは2025-06-02株価3538.61円、EPS301.55円、BPS3795.62円で計算。
2,2025-06-01,8306.T,三菱UFJ FG,総合,三菱UFJフィナンシャル・グループ IR,E03606,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.mufg.jp/dam/ir/fs/2024/pdf/summary2503_ja.pdf,YES,13629997,11890350,14.6,1862946,1490781,25.0,160.02,9.3,12.02,1.08,2025年3月期年間配当64円、2026年3月期予想70円、配当性向40.3%。,確認済み,使用可,公式決算短信2025/5/15。2025/6/1基準株価1924.08円でPER/PBRを算出。
3,2025-06-01,8725.T,MS&AD,総合,MS&ADインシュアランスグループ IR,E03854,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.ms-ad-hd.com/ja/ir/ir_event/event/event2025/main/0111111116/teaserItems1/00/linkList/00/link/summary_2024Q4_J.pdf,YES,6660813,6572889,1.3,691657,369266,87.3,445.52,16.3,7.47,1.26,2025年3月期年間配当145円、2026年3月期予想155円、配当性向40.5%。,確認済み,使用可,公式IR掲載の2025年3月期決算短信。JPX開示PDFでも同一数値を確認。2025/6/1基準株価3327.59円でPER/PBRを算出。
4,2025-06-01,8411.T,みずほFG,総合,みずほフィナンシャルグループ IR,E03615,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.mizuho-fg.co.jp/investors/financial/tanshin/pdf/data2503_fy.pdf,YES,9030374,8744458,3.2,885433,678993,30.4,350.20,8.5,11.03,0.93,2025年3月期年間配当140円、2026年3月期予想145円、配当性向38.7%。,確認済み,使用可,公式決算短信2025/5/15。2025/6/1基準株価3864.05円でPER/PBRを算出。
5,2025-06-01,6503.T,三菱電機,総合 / データセンター・電力・冷却・電線,三菱電機 IR,E01739,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.mitsubishielectric.co.jp/ja/pr/2025/pdf/0428-a1.pdf,YES,5521711,5257914,5.0,324084,284949,13.7,155.70,8.4,18.27,1.49,2025年3月期年間配当50円、配当性向32.1%。,確認済み,使用可,公式決算短信2025/4/28。2025/6/1基準株価2845.04円でPER/PBRを算出。
6,2025-06-01,6857.T,アドバンテスト,半導体製造装置・材料,アドバンテスト IR,E01911,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www2.jpx.co.jp/disc/68570/140120250424523309.pdf,YES,779707,486507,60.3,161177,62290,158.8,218.67,34.4,32.31,10.23,2025年3月期年間配当39円、配当性向17.8%。,確認済み,使用可,JPX開示の2025年3月期決算短信。2025/6/1基準株価7066.17円でPER/PBRを算出。
7,2025-06-01,6146.T,ディスコ,半導体製造装置・材料,ディスコ IR,E01506,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www2.jpx.co.jp/disc/61460/140120250416517196.pdf,YES,393313,307554,27.9,123891,84205,47.1,1143.26,27.6,27.70,6.99,2025年3月期年間配当413円、配当性向36.1%。,確認済み,使用可,JPX開示の2025年3月期決算短信。2025/6/1基準株価31661.84円でPER/PBRを算出。
8,2025-06-01,8035.T,東京エレクトロン,半導体製造装置・材料,東京エレクトロン IR,E02652,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.daiwair.co.jp/td_download.cgi?c=8035&i=2974316,YES,2431568,1830527,32.8,544133,363963,49.5,1182.40,30.3,18.75,5.52,2025年3月期年間配当592円、配当性向約50%。,確認済み,使用可,DaiwaIR掲載のTDnet決算短信。2025/6/1基準株価22172.84円でPER/PBRを算出。
9,2025-06-01,7735.T,SCREEN HD,半導体製造装置・材料,SCREENホールディングス IR,E02288,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www2.jpx.co.jp/disc/77350/140120250508535993.pdf,YES,625269,504916,23.8,99467,70579,40.9,1023.54,25.1,4.76,1.11,2025年3月期年間配当293円、自己株式取得あり。,確認済み,使用可,JPX開示の2025年3月期決算短信。2025/6/1基準株価4875.00円でPER/PBRを算出。
10,2025-06-01,6920.T,レーザーテック,半導体製造装置・材料,レーザーテック IR,E01991,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://assets.minkabu.jp/news/article_media_content/urn%3Anewsml%3Atdnet.info%3A20250428525257/010120250428525257.pdf,YES,168835,157202,7.4,52694,41521,26.9,584.27,未算出,16.96,7.08,2025年6月期第3四半期時点。通期予想配当288円。,部分確認済み,限定使用,2025/6/1時点では通期決算未公表のため、第3四半期累計と通期予想EPS820.52円を併用。購入判断用の本検証では別扱い。
