event_date,event_name,ticker,name,sector,return_1d,return_5d,return_20d,benchmark_return_20d,excess_20d,status,action_rule
2026-06-10,米CPI,8316.T,三井住友FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,8306.T,三菱UFJ FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,8725.T,MS&AD,保険,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,8411.T,みずほFG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,6503.T,三菱電機,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,6857.T,アドバンテスト,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,6146.T,ディスコ,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,8035.T,東京エレクトロン,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,7735.T,SCREEN HD,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,6920.T,レーザーテック,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,7011.T,三菱重工業,防衛/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,6501.T,日立製作所,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,5803.T,フジクラ,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-10,米CPI,5801.T,古河電工,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,8316.T,三井住友FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,8306.T,三菱UFJ FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,8725.T,MS&AD,保険,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,8411.T,みずほFG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,6503.T,三菱電機,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,6857.T,アドバンテスト,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,6146.T,ディスコ,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,8035.T,東京エレクトロン,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,7735.T,SCREEN HD,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,6920.T,レーザーテック,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,7011.T,三菱重工業,防衛/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,6501.T,日立製作所,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,5803.T,フジクラ,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-15,日銀会合,5801.T,古河電工,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,8316.T,三井住友FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,8306.T,三菱UFJ FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,8725.T,MS&AD,保険,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,8411.T,みずほFG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,6503.T,三菱電機,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,6857.T,アドバンテスト,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,6146.T,ディスコ,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,8035.T,東京エレクトロン,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,7735.T,SCREEN HD,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,6920.T,レーザーテック,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,7011.T,三菱重工業,防衛/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,6501.T,日立製作所,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,5803.T,フジクラ,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-06-16,FOMC,5801.T,古河電工,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,8316.T,三井住友FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,8306.T,三菱UFJ FG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,8725.T,MS&AD,保険,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,8411.T,みずほFG,銀行,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,6503.T,三菱電機,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,6857.T,アドバンテスト,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,6146.T,ディスコ,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,8035.T,東京エレクトロン,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,7735.T,SCREEN HD,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,6920.T,レーザーテック,半導体,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,7011.T,三菱重工業,防衛/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,6501.T,日立製作所,総合/電力,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,5803.T,フジクラ,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
2026-08-中旬,4-6月期決算確認,5801.T,古河電工,電線,,,,,,未計算,イベント後の株価データ到来後に入力。20営業日未到達は未確定扱い。
