base_date,ticker,name,price_base,return_1y,max_drawdown_1y,excess_vs_sp500,excess_vs_topix_proxy,source_to_find,revenue_current,revenue_previous,revenue_growth_pct,profit_current,profit_previous,profit_growth_pct,eps_current,roe_pct,per_asof,pbr_asof,dividend_or_buyback,verification_status,use_in_backtest,note
2023-06-01,8316.T,三井住友FG,1719.73,86.17,-13.41,61.14,54.97,https://www.smfg.co.jp/investor/financial/latest_statement/2023_3/2023_fy_01.pdf,6142155,4111127,49.4,805842,706631,14.0,196.82,6.6,8.74,0.55,2023年3月期年間配当240円。株価・EPS/BPSは後日の株式分割に合わせて3分割調整。,確認済み,使用可,SMFG公式2023年3月期決算短信。Yahoo株価が分割調整後のためEPS/BPSを3分割調整してPER/PBRを算出。
2023-06-01,8306.T,三菱UFJ FG,874.23,77.05,-9.82,52.02,45.85,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,8725.T,MS&AD,1420.07,112.20,-8.57,87.17,81.00,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,8411.T,みずほFG,1870.64,60.90,-12.63,35.87,29.70,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,6503.T,三菱電機,1752.93,51.01,-19.31,25.98,19.81,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,6857.T,アドバンテスト,4428.23,18.92,-34.18,-6.11,-12.28,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,6146.T,ディスコ,20025.02,200.91,-19.82,175.88,169.71,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,8035.T,東京エレクトロン,18623.68,72.73,-18.10,47.70,41.53,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,7735.T,SCREEN HD,3455.29,107.02,-25.00,81.99,75.82,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,6920.T,レーザーテック,21376.26,84.24,-22.96,59.21,53.04,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,7011.T,三菱重工業,571.99,135.43,-17.76,110.40,104.23,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,6501.T,日立製作所,1547.28,103.99,-13.73,78.96,72.79,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,5803.T,フジクラ,174.04,199.72,-16.16,174.69,168.52,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2023-06-01,5801.T,古河電工,2252.13,82.51,-22.17,57.48,51.31,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2024-06-01,8316.T,三井住友FG,3249.85,10.08,-29.43,-1.82,7.62,https://www.smfg.co.jp/investor/financial/latest_statement/2024_3/2024_fy_01.pdf,9353590,6142155,52.3,962946,805842,19.5,241.52,7.3,13.46,0.87,2024年3月期年間配当270円。2024年10月1日効力発生の3分割を仮定したEPS/BPSを使用。,確認済み,使用可,SMFG公式2024年3月期決算短信。分割調整後のEPS/BPSと基準株価でPER/PBRを算出。
2024-06-01,8306.T,三菱UFJ FG,1583.28,23.69,-31.85,11.80,21.24,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2024-06-01,8725.T,MS&AD,3108.86,6.51,-32.62,-5.38,4.06,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2024-06-01,8411.T,みずほFG,3074.43,26.86,-33.45,14.96,24.40,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
2024-06-01,6503.T,三菱電機,2671.31,7.39,-33.95,-4.50,4.94,基準日前に公表済みの通期決算短信または直近四半期決算,,,,,,,,,,,,未入力,使用不可,基準日前に公表済みの資料で確認するまで、本検証には使わない。
