base_date,ticker,name,price_base,return_1y,max_drawdown_1y,excess_vs_sp500,excess_vs_topix_proxy,source_to_find,revenue_current,revenue_previous,revenue_growth_pct,profit_current,profit_previous,profit_growth_pct,eps_current,roe_pct,per_asof,pbr_asof,dividend_or_buyback,verification_status,use_in_backtest,note
2023-06-01,8316.T,三井住友FG,1719.73,86.17,-13.41,61.14,54.97,https://www.smfg.co.jp/investor/financial/latest_statement/2023_3/2023_fy_01.pdf,6142155,4111127,49.4,805842,706631,14.0,196.82,6.6,8.74,0.55,年間配当240円。株式分割を反映して調整。,確認済み,使用可,公式決算短信。株式分割後の株価系列に合わせてEPS/BPSを調整しPER/PBRを算出。
2023-06-01,8306.T,三菱UFJ FG,874.23,77.05,-9.82,52.02,45.85,https://www.mufg.jp/dam/ir/fs/2022/pdf/summary2303_ja.pdf,9281027,6075887,52.8,1116496,1130840,-1.3,90.73,6.5,9.64,0.61,年間配当32円、配当性向35.3%。,確認済み,使用可,公式決算短信。基準日株価からPER/PBRを算出。
2023-06-01,8725.T,MS&AD,1420.07,112.20,-8.57,87.17,81.00,https://data.swcms.net/file/corp-ms-ad-hd/dam/jcr%3A195f660b-1bd8-491d-8286-829d145ff343/140120230512568087.pdf,5251271,5132042,2.3,161530,262799,-38.5,99.93,5.2,14.21,0.76,年間配当200円。2024年4月の3分割を反映して調整。,確認済み,使用可,公式決算短信。2024年の株式分割を反映。2024年ROEは自己資本から概算。
2023-06-01,8411.T,みずほFG,1870.64,60.90,-12.63,35.87,29.70,https://www.mizuho-fg.co.jp/investors/financial/tanshin/pdf/data2303_fy.pdf,5778772,3963091,45.8,555527,530479,4.7,219.20,6.1,8.53,0.52,年間配当85円、配当性向38.7%。,確認済み,使用可,公式決算短信。基準日株価からPER/PBRを算出。
2023-06-01,6503.T,三菱電機,1752.93,51.01,-19.31,25.98,19.81,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,6857.T,アドバンテスト,4428.23,18.92,-34.18,-6.11,-12.28,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,6146.T,ディスコ,20025.02,200.91,-19.82,175.88,169.71,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,8035.T,東京エレクトロン,18623.68,72.73,-18.10,47.70,41.53,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,7735.T,SCREEN HD,3455.29,107.02,-25.00,81.99,75.82,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,6920.T,レーザーテック,21376.26,84.24,-22.96,59.21,53.04,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
