基準日,ticker,銘柄,優先度,確認対象,IR入口,必要項目,状態,扱い
2023-06-01,6503.T,三菱電機,中,2023年3月期または基準日前公表済み決算,https://www.mitsubishielectric.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,6857.T,アドバンテスト,高,2023年3月期または基準日前公表済み決算,https://www.advantest.com/ja/investors/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,6146.T,ディスコ,高,2023年3月期または基準日前公表済み決算,https://www.disco.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,8035.T,東京エレクトロン,高,2023年3月期または基準日前公表済み決算,https://www.tel.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,7735.T,SCREEN HD,高,2023年3月期または基準日前公表済み決算,https://www.screen.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,6920.T,レーザーテック,高,2023年3月期または基準日前公表済み決算,https://www.lasertec.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,7011.T,三菱重工業,高,2023年3月期または基準日前公表済み決算,https://www.mhi.com/jp/finance/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,6501.T,日立製作所,中,2023年3月期または基準日前公表済み決算,https://www.hitachi.co.jp/IR/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,5803.T,フジクラ,中,2023年3月期または基準日前公表済み決算,https://www.fujikura.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2023-06-01,5801.T,古河電工,中,2023年3月期または基準日前公表済み決算,https://www.furukawa.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,6503.T,三菱電機,中,2024年3月期または基準日前公表済み決算,https://www.mitsubishielectric.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,6857.T,アドバンテスト,高,2024年3月期または基準日前公表済み決算,https://www.advantest.com/ja/investors/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,6146.T,ディスコ,高,2024年3月期または基準日前公表済み決算,https://www.disco.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,8035.T,東京エレクトロン,高,2024年3月期または基準日前公表済み決算,https://www.tel.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,7735.T,SCREEN HD,高,2024年3月期または基準日前公表済み決算,https://www.screen.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,6920.T,レーザーテック,高,2024年3月期または基準日前公表済み決算,https://www.lasertec.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,7011.T,三菱重工業,高,2024年3月期または基準日前公表済み決算,https://www.mhi.com/jp/finance/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,6501.T,日立製作所,中,2024年3月期または基準日前公表済み決算,https://www.hitachi.co.jp/IR/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,5803.T,フジクラ,中,2024年3月期または基準日前公表済み決算,https://www.fujikura.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
2024-06-01,5801.T,古河電工,中,2024年3月期または基準日前公表済み決算,https://www.furukawa.co.jp/ir/,売上、利益、EPS、ROE、PER/PBR,未入力,公式決算短信・決算説明資料で確認するまで購入判断用スコアには混ぜない
