updated_at,ticker,name,indicator_source,series_type,industry,link_strength,reason
2026/05/20 01:43,8035.T,東京エレクトロン,METI,生産,半導体・フラットパネルディスプレイ製造装置,高,半導体製造装置そのものに近い業界指数
2026/05/20 01:43,8035.T,東京エレクトロン,METI,出荷,半導体・フラットパネルディスプレイ製造装置,高,装置出荷の強弱を見るため
2026/05/20 01:43,6857.T,アドバンテスト,METI,生産,半導体・フラットパネルディスプレイ製造装置,中,検査装置は半導体設備投資サイクルと連動しやすい
2026/05/20 01:43,6857.T,アドバンテスト,METI,出荷,電子部品・デバイス工業,中,半導体・電子部品の需要確認に使う
2026/05/20 01:43,2802.T,味の素,METI,生産,食料品・たばこ工業,中,食品需要の国内景況代理変数
2026/05/20 01:43,2802.T,味の素,METI,生産,化学工業,低,素材・アミノ酸事業の代理変数。ただし直接ではない
2026/05/20 01:43,4519.T,中外製薬,METI,生産,化学工業（除．医薬品）,低,医薬品そのものではなく、比較用の弱い代理変数
2026/05/20 01:43,8058.T,三菱商事,METI,生産,鉱工業,低,総合商社は資源・市況・為替影響が強く、鉱工業は広い代理変数
2026/05/20 01:43,7974.T,任天堂,METI,生産,電気・情報通信機械工業,低,ゲーム専用の統計ではないため、参考値
2026/05/20 01:43,9433.T,KDDI,OCCTO,日次,電力需給,低,通信・データセンター需要の間接テーマ。短期株価との直接性は弱い
2026/05/20 01:43,8035.T,東京エレクトロン,OCCTO,日次,電力需給,低,AI・データセンター需要テーマの間接確認
