順位,ticker,銘柄,業種,位置づけ,公式売上/利益/EPS,PER/PBR/ROE,1年/5年/10年株価指標,決算後反応,質的材料,データ信頼度,判定に使う範囲,未取得時の扱い
1,8316.T,三井住友FG,金融,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
2,8306.T,三菱UFJ FG,金融,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
3,8058.T,三菱商事,商社,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
4,8053.T,住友商事,商社,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
5,8031.T,三井物産,商社,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
6,8766.T,東京海上HD,保険,既存総合候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
7,5801.T,古河電工,電線・通信,AIインフラ候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
8,5802.T,住友電工,電線・通信,AIインフラ候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
9,6857.T,アドバンテスト,半導体製造装置,半導体候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
10,6146.T,ディスコ,半導体製造装置,半導体候補,要確認: 公式決算短信・IR資料,要確認: 公式または信頼できるデータ元,取得済み指標を優先確認,1日/5日/20日を入力待ち,仮説と実績を分けて記録,暫定,取得済み項目のみ,未取得項目は加点しない
