ticker,銘柄,決算日,1営業日超過リターン,5営業日超過リターン,20営業日超過リターン,成熟度,判定,次アクション
8316.T,三井住友FG,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
8306.T,三菱UFJ FG,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
8058.T,三菱商事,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
8053.T,住友商事,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
8031.T,三井物産,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
8766.T,東京海上HD,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
5801.T,古河電工,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
5802.T,住友電工,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
6857.T,アドバンテスト,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
6146.T,ディスコ,入力待ち,未取得,未取得,未到来または未取得,未成熟,購入判断に未使用,決算日と株価時系列を結合
