ticker,銘柄,業種,候補区分,公式決算URL,売上成長率,営業利益成長率,EPS成長率,ROE,PER,PBR,受注/契約/利ざや等の業種固有指標,利益率,決算後1日反応,決算後5日反応,決算後20日反応,データ信頼度,購入判断に使えるか,未取得時の扱い
8316.T,三井住友FG,金融,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
8306.T,三菱UFJ FG,金融,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
8058.T,三菱商事,商社,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
8053.T,住友商事,商社,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
8031.T,三井物産,商社,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
8766.T,東京海上HD,保険,総合候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
5801.T,古河電工,電線・通信,AIインフラ候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
5802.T,住友電工,電線・通信,AIインフラ候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
6857.T,アドバンテスト,半導体製造装置,半導体候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
6146.T,ディスコ,半導体製造装置,半導体候補,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,入力待ち,暫定,未判定,加点しない
