順位,コード,銘柄,入力済み項目数,未入力項目数,進捗率,入力済みの中身,残タスク,扱い
,8053.T,住友商事,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8002.T,丸紅,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8058.T,三菱商事,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8316.T,三井住友FG,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8306.T,三菱UFJ FG,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,1605.T,INPEX,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,6503.T,三菱電機,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8031.T,三井物産,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8411.T,みずほFG,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
,8725.T,MS&AD,9,10,47%,株価・CAGR・下落率・指数差は入力済み,公式決算、PER/PBR/ROE、業種固有指標、決算後反応,補完優先
