順位,コード,銘柄,再選定点,NISA優先点,配分候補円,5年CAGR,10年CAGR,直近1年騰落率,5年S&P差,最大下落率5年,月次勝率,PER,PBR,ROE,売上成長率,利益成長率,EPS成長率,決算後反応点,反応状態,データ状態,残る確認,扱い,参照元
1,8053.T,住友商事,82.4,66.1,190000,41.2,25.6,99.8,28.9,-35.8,66.7,13.73,1.87,12.94,0.6,0.9,未取得,59.6,暫定: 20営業日未到達,参考値あり,公式再確認,候補比較の参考に使用可。購入前に公式再確認,https://finance.yahoo.co.jp/quote/8053.T/disclosure
2,8002.T,丸紅,81.9,67.2,200000,45.2,31,87.2,32.8,-37.3,61.7,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
3,8058.T,三菱商事,80.6,75.1,220000,42.5,27.5,77.3,30.2,-33.7,61.7,19.47,2.27,未取得,1.6,-21.3,-11,未取得,未取得,一部参考値あり,ROE / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
4,8316.T,三井住友FG,80.1,72.5,210000,39.9,22.7,66.8,27.5,-29.4,71.7,13.40,1.44,10.38,6.1,34,未取得,55.5,暫定: 20営業日未到達,参考値あり,公式再確認,候補比較の参考に使用可。購入前に公式再確認,https://www.smfg.co.jp/investor/
5,8306.T,三菱UFJ FG,78.7,71.2,210000,41.3,23,57.1,29,-31.8,66.7,未取得,1.54,11.34,7.3,27.7,30.3,55.4,暫定: 20営業日未到達,参考値あり,PER / 公式再確認,候補比較の参考に使用可。購入前に公式再確認,https://www.mufg.jp/ir/index.html
6,1605.T,INPEX,78.4,74.6,220000,43.3,19.1,100.9,30.9,-32.9,65,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
7,6503.T,三菱電機,77.8,64.0,190000,33.3,20,128.8,20.9,-34,63.3,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
8,8031.T,三井物産,76.1,60.4,160000,38.5,27.8,83.4,26.2,-41.7,61.7,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
9,8411.T,みずほFG,75.9,71.1,210000,38.3,20.1,82.1,26,-33.4,71.7,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
10,8725.T,MS&AD,75.4,65.4,190000,36.3,20.1,34.7,23.9,-32.6,68.3,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,長期株価・配分候補のみ,PER/PBR/ROE / 決算成長率参考値 / 決算後反応 / 公式再確認,候補比較の補助まで。購入判断には補完が必要,既存CSVのみ
