コード,銘柄,長期・指数,NISA配分,PER/PBR/ROE,決算成長率,決算後反応,過去検証用公式値,未完了の理由
8053.T,住友商事,取得済み,取得済み,参考値あり,参考値あり,参考値あり,なし,公式再確認と6月イベント後の実数入力が必要。
8002.T,丸紅,取得済み,取得済み,参考値あり,参考値あり,参考値あり,なし,公式再確認と6月イベント後の実数入力が必要。
8058.T,三菱商事,取得済み,取得済み,参考値あり,参考値あり,未取得,なし,公式再確認と6月イベント後の実数入力が必要。
8316.T,三井住友FG,取得済み,取得済み,参考値あり,参考値あり,参考値あり,なし,公式再確認と6月イベント後の実数入力が必要。
8306.T,三菱UFJ FG,取得済み,取得済み,参考値あり,参考値あり,参考値あり,なし,公式再確認と6月イベント後の実数入力が必要。
1605.T,INPEX,取得済み,取得済み,現在参考値あり,公式FY2025あり,20営業日未到達,あり,PER/PBR/ROEはYahoo参考。売上・利益・EPS・ROEはINPEX公式2025年通期決算。購入前に最新株価と6月イベント後の油価・為替を再確認。
6503.T,三菱電機,取得済み,取得済み,参考値あり,参考値あり,参考値あり,あり,公式再確認と6月イベント後の実数入力が必要。
8031.T,三井物産,取得済み,取得済み,参考値あり,参考値あり,未取得,なし,公式再確認と6月イベント後の実数入力が必要。
8411.T,みずほFG,取得済み,取得済み,参考値あり,参考値あり,未取得,あり,公式再確認と6月イベント後の実数入力が必要。
8725.T,MS&AD,取得済み,取得済み,参考値あり,参考値あり,未取得,あり,公式再確認と6月イベント後の実数入力が必要。
