updated_at,rank,ticker,company,sector,event_date,event_type,base_date,base_price,after_1d_date,excess_1d_pct,after_5d_date,excess_5d_pct,after_20d_date,excess_20d_pct,reaction_score,status,score_connection,note,source_url
2026/06/04,1,8053.T,住友商事,商社,2026-05-01,2026年3月期通期決算,2026-05-01,6840,2026-05-07,2.61,2026-05-13,6.24,2026-06-03,-14.91,39.88,20営業日到達,接続候補,20営業日の超過リターンまで確認。検算後に採点接続を検討。,https://www.sumitomocorp.com/ja/jp/ir/financial
2026/06/04,2,8002.T,丸紅,商社,2026-05-01,2026年3月期通期決算,2026-05-01,5755,2026-05-07,-10.10,2026-05-13,-6.58,2026-06-03,-28.18,13.84,20営業日到達,接続候補,20営業日の超過リターンまで確認。検算後に採点接続を検討。,https://www.marubeni.com/jp/ir/reports/financial_results/
2026/06/04,3,8058.T,三菱商事,商社,2026-05-01,2026年3月期通期決算,2026-05-01,5219,2026-05-07,-2.15,2026-05-13,6.04,2026-06-03,-19.53,33.23,20営業日到達,接続候補,20営業日の超過リターンまで確認。検算後に採点接続を検討。,https://www.mitsubishicorp.com/jp/ja/ir/library/er/
2026/06/04,4,8316.T,三井住友FG,銀行,2026-05-13,2026年3月期通期決算,2026-05-13,5852,2026-05-14,-2.05,2026-05-20,5.99,,,55.55,1日/5日到達・20営業日未到達,説明補助のみ,20営業日反応が未到達のため、購入判断スコアには接続しない。,https://www.smfg.co.jp/investor/financial/latest_statement/
2026/06/04,5,8306.T,三菱UFJ FG,銀行,2026-05-15,2026年3月期通期決算,2026-05-15,2929,2026-05-18,3.22,2026-05-22,2.39,,,55.44,1日/5日到達・20営業日未到達,説明補助のみ,20営業日反応が未到達のため、購入判断スコアには接続しない。,https://www.mufg.jp/ir/index.html
2026/06/04,6,1605.T,INPEX,エネルギー,2026-05-13,2026年12月期1Q決算,2026-05-13,3930,2026-05-14,0.72,2026-05-20,7.01,,,58.99,1日/5日到達・20営業日未到達,説明補助のみ,20営業日反応が未到達のため、購入判断スコアには接続しない。,https://www.inpex.com/ir/library/result.html
2026/06/04,7,6503.T,三菱電機,総合電機,2026-04-28,2026年3月期通期決算,2026-04-28,6078,2026-04-30,3.57,2026-05-11,1.90,2026-06-01,-11.55,41.02,20営業日到達,接続候補,20営業日の超過リターンまで確認。検算後に採点接続を検討。,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf
2026/06/04,8,8031.T,三井物産,商社,2026-05-01,2026年3月期通期決算,2026-05-01,5765,2026-05-07,-8.82,2026-05-13,0.05,2026-06-03,-27.18,19.32,20営業日到達,接続候補,20営業日の超過リターンまで確認。検算後に採点接続を検討。,https://www.mitsui.com/jp/ja/ir/library/earning/
2026/06/04,9,8411.T,みずほFG,銀行,2026-05-15,2026年3月期通期決算,2026-05-15,6912,2026-05-18,-4.63,2026-05-22,4.74,,,51.98,1日/5日到達・20営業日未到達,説明補助のみ,20営業日反応が未到達のため、購入判断スコアには接続しない。,https://www.mizuho-fg.co.jp/investors/financial/disclosure/index.html
2026/06/04,10,8725.T,MS&AD,保険,2026-05-20,2026年3月期通期決算,2026-05-20,4420,2026-05-21,-4.73,2026-05-27,-11.63,,,32.27,1日/5日到達・20営業日未到達,説明補助のみ,20営業日反応が未到達のため、購入判断スコアには接続しない。,https://www.ms-ad-hd.com/ja/ir/library/results.html
