scenario,rank,ticker,name,channel,score,class,allocation_yen,reason
yellow,1,8053.T,住友商事,総合候補,8,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,2,8316.T,三井住友FG,総合候補,8,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,3,6501.T,日立製作所,データセンター・電力・冷却・電線,8,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,4,6503.T,三菱電機,総合候補,7,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,5,6857.T,アドバンテスト,半導体製造装置・材料,7,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,6,8035.T,東京エレクトロン,半導体製造装置・材料,7,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,7,7011.T,三菱重工業,データセンター・電力・冷却・電線,7,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
yellow,8,6762.T,TDK,フィジカルAI,7,補欠候補,112500,補欠候補。追加データ確認後に昇格余地あり。
green,1,8053.T,住友商事,総合候補,9,条件付き候補,262500,停止条件には触れていないが、決算反応・税制/口座・高ボラ確認が残る。
green,2,8316.T,三井住友FG,総合候補,9,条件付き候補,262500,停止条件には触れていないが、決算反応・税制/口座・高ボラ確認が残る。
green,3,6501.T,日立製作所,データセンター・電力・冷却・電線,9,条件付き候補,262500,停止条件には触れていないが、決算反応・税制/口座・高ボラ確認が残る。
green,4,6503.T,三菱電機,総合候補,8,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,5,6857.T,アドバンテスト,半導体製造装置・材料,8,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,6,8035.T,東京エレクトロン,半導体製造装置・材料,8,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,7,7011.T,三菱重工業,データセンター・電力・冷却・電線,8,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,8,6762.T,TDK,フィジカルAI,8,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,9,6146.T,ディスコ,半導体製造装置・材料,7,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
green,10,5803.T,フジクラ,データセンター・電力・冷却・電線,7,補欠候補,87500,補欠候補。追加データ確認後に昇格余地あり。
