updated_at,ticker,indicator_source,series_type,industry,month,indicator_mom_pct,indicator_yoy_pct,stock_prior_3m_return_pct,market_proxy,market_proxy_name,market_prior_3m_return_pct,conditions_met,stock_return_1m_after_pct,stock_return_3m_after_pct
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-05,-8.055,0,,SMH,半導体ETF(SMH),,none,0.71,-17.929
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-06,-7.965,0,,SMH,半導体ETF(SMH),,none,-1.462,-18.115
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-07,5.192,0,,SMH,半導体ETF(SMH),,industry_up,-17.298,-15.894
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-08,24.132,0,-17.929,SMH,半導体ETF(SMH),,industry_up,0.48,-19.827
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-09,-14.875,0,-18.115,SMH,半導体ETF(SMH),3.682,market_trend_up,1.211,-0.319
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-10,-13.841,0,-15.894,SMH,半導体ETF(SMH),-11.739,none,-21.165,-4.567
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-11,4.217,0,-19.827,SMH,半導体ETF(SMH),-11.19,industry_up,24.93,27.846
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2018-12,-11.561,0,-0.319,SMH,半導体ETF(SMH),-18.008,none,-3.102,12.856
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-01,-4.031,-23.855,-4.567,SMH,半導体ETF(SMH),3.349,market_trend_up,5.61,-2.376
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-02,15.437,-1.644,27.846,SMH,半導体ETF(SMH),6.801,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,10.281,-5.5
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-03,-6.981,-20.771,12.856,SMH,半導体ETF(SMH),21.826,stock_trend_up;market_trend_up;stock_and_market_up,-16.18,5.951
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-04,-10.994,-31.489,-2.376,SMH,半導体ETF(SMH),20.354,market_trend_up,2.231,28.499
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-05,19.596,-10.885,-5.5,SMH,半導体ETF(SMH),-4.936,industry_up,23.644,36.012
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-06,-5.859,-8.846,5.951,SMH,半導体ETF(SMH),3.621,stock_trend_up;market_trend_up;stock_and_market_up,1.658,18.08
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-07,1.582,-11.974,28.499,SMH,半導体ETF(SMH),0.723,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,8.208,18.916
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-08,-0.519,-29.455,36.012,SMH,半導体ETF(SMH),16.482,stock_trend_up;market_trend_up;stock_and_market_up,7.343,16.338
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-09,6.159,-12.024,18.08,SMH,半導体ETF(SMH),8.123,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,2.378,10.985
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-10,4.818,7.028,18.916,SMH,半導体ETF(SMH),8.882,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,5.863,-1.217
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-11,-9.287,-6.84,16.338,SMH,半導体ETF(SMH),16.16,stock_trend_up;market_trend_up;stock_and_market_up,2.403,-14.922
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2019-12,16.443,22.658,10.985,SMH,半導体ETF(SMH),18.702,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,-8.878,-6.367
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-01,-4.352,22.247,-1.217,SMH,半導体ETF(SMH),7.907,market_trend_up,-8.824,-3.695
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-02,-9.471,-4.13,-14.922,SMH,半導体ETF(SMH),-0.707,none,12.7,29.894
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-03,-12.205,-9.514,-6.367,SMH,半導体ETF(SMH),-17.163,none,-6.277,25.545
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-04,25.35,27.435,-3.695,SMH,半導体ETF(SMH),-2.791,industry_up,22.977,26.279
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-05,-4.287,1.986,29.894,SMH,半導体ETF(SMH),6.865,stock_trend_up;market_trend_up;stock_and_market_up,8.926,3.366
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-06,3.311,11.92,25.545,SMH,半導体ETF(SMH),30.442,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,-5.729,-3.125
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-07,-2.356,7.58,26.279,SMH,半導体ETF(SMH),24.295,stock_trend_up;market_trend_up;stock_and_market_up,0.663,30.645
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-08,-18.05,-11.378,3.366,SMH,半導体ETF(SMH),24.349,stock_trend_up;market_trend_up;stock_and_market_up,2.086,40.505
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-09,8.834,-9.145,-3.125,SMH,半導体ETF(SMH),14.005,industry_up;market_trend_up;industry_and_market_up,27.133,42.688
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-10,8.874,-5.629,30.645,SMH,半導体ETF(SMH),5.252,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,8.261,22.78
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-11,9.145,13.547,40.505,SMH,半導体ETF(SMH),18.954,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,3.672,21.849
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2020-12,0.273,-2.22,42.688,SMH,半導体ETF(SMH),25.385,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,9.395,21.377
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-01,10.536,12.999,22.78,SMH,半導体ETF(SMH),29.528,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,7.44,11.734
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-02,8.71,35.692,21.849,SMH,半導体ETF(SMH),15.503,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,3.27,2.757
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-03,-16.856,28.505,21.377,SMH,半導体ETF(SMH),11.505,stock_trend_up;market_trend_up;stock_and_market_up,0.704,-7.036
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-04,21.364,24.418,11.734,SMH,半導体ETF(SMH),7.233,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,-1.192,-2.918
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-05,-12.06,14.314,2.757,SMH,半導体ETF(SMH),3.42,stock_trend_up;market_trend_up;stock_and_market_up,-6.572,3.307
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-06,11.755,23.657,-7.036,SMH,半導体ETF(SMH),7.674,industry_up;market_trend_up;industry_and_market_up,5.165,17.654
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-07,1.296,28.282,-2.918,SMH,半導体ETF(SMH),8.288,industry_up;market_trend_up;industry_and_market_up,5.144,26.672
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-08,2.408,60.306,3.307,SMH,半導体ETF(SMH),8.684,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,6.402,33.441
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-09,-1.029,45.779,17.654,SMH,半導体ETF(SMH),-2.277,stock_trend_up,13.226,3.557
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-10,1.856,36.382,26.672,SMH,半導体ETF(SMH),3.99,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,10.762,-6.801
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-11,18.149,47.632,33.441,SMH,半導体ETF(SMH),12.58,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,-17.426,-4.572
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2021-12,-12.832,28.338,3.557,SMH,半導体ETF(SMH),20.494,stock_trend_up;market_trend_up;stock_and_market_up,1.9,1.37
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-01,-4.105,11.339,-6.801,SMH,半導体ETF(SMH),0.643,market_trend_up,13.412,5.756
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-02,-1.181,1.209,-4.572,SMH,半導体ETF(SMH),-12.053,none,-12.285,-29.96
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-03,6.721,29.909,1.37,SMH,半導体ETF(SMH),-12.63,industry_up;stock_trend_up;industry_and_stock_up,6.309,-17.069
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-04,-5.948,0.674,5.756,SMH,半導体ETF(SMH),-16.54,stock_trend_up,-24.89,-25.127
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-05,4.911,20.102,-29.96,SMH,半導体ETF(SMH),-8.79,industry_up,3.86,-19.413
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-06,10.071,18.293,-17.069,SMH,半導体ETF(SMH),-24.486,industry_up,-4.021,-14.171
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-07,0.064,16.855,-25.127,SMH,半導体ETF(SMH),3.18,industry_up;market_trend_up;industry_and_market_up,-19.158,2.106
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-08,23.567,40.999,-19.413,SMH,半導体ETF(SMH),-12.27,industry_up,10.616,8.908
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-09,5.159,49.814,-14.171,SMH,半導体ETF(SMH),-9.135,industry_up,14.181,14.383
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-10,-20.515,16.91,2.106,SMH,半導体ETF(SMH),-20.214,stock_trend_up,-13.772,3.593
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-11,-4.988,-5.984,8.908,SMH,半導体ETF(SMH),6.133,stock_trend_up;market_trend_up;stock_and_market_up,16.178,23.765
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2022-12,-0.919,6.865,14.383,SMH,半導体ETF(SMH),9.626,stock_trend_up;market_trend_up;stock_and_market_up,3.409,2.911
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-01,-30.132,-22.14,3.593,SMH,半導体ETF(SMH),25.304,stock_trend_up;market_trend_up;stock_and_market_up,3.019,24.053
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-02,28.152,0.971,23.765,SMH,半導体ETF(SMH),5.124,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,-3.398,28.18
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-03,9.985,4.059,2.911,SMH,半導体ETF(SMH),29.689,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,24.653,37.109
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-04,-17.35,-8.557,24.053,SMH,半導体ETF(SMH),4.281,stock_trend_up;market_trend_up;stock_and_market_up,6.446,11.701
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-05,5.126,-8.369,28.18,SMH,半導体ETF(SMH),20.576,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,3.332,-0.584
2026/05/20 02:02,8035.T,METI,生産,半導体・フラットパネルディスプレイ製造装置,2023-06,7.508,-10.503,37.109,SMH,半導体ETF(SMH),15.696,industry_up;stock_trend_up;market_trend_up;industry_and_stock_up;industry_and_market_up;stock_and_market_up;all_three_up,1.553,-7.013
