口座数,元本合計,6/18-24初回投入,7/15前後追加,8/17-21追加,最終株式投入,現金待機,3か月基準,6か月基準,1年弱め8%,1年基準10%,1年強め12%,3年基準10%,5年基準10%,10年基準10%
1,2400000,840000,480000,360000,1680000,720000,2440511,2481999,2534400,2568000,2601600,2956080,3425657,5077487
2,4800000,1680000,960000,720000,3360000,1440000,4881022,4963998,5068800,5136000,5203200,5912160,6851314,10154975
3,7200000,2520000,1440000,1080000,5040000,2160000,7321533,7445997,7603200,7704000,7804800,8868240,10276970,15232462
4,9600000,3360000,1920000,1440000,6720000,2880000,9762044,9927995,10137600,10272000,10406400,11824320,13702627,20309949
5,12000000,4200000,2400000,1800000,8400000,3600000,12202555,12409994,12672000,12840000,13008000,14780400,17128284,25387437
6,14400000,5040000,2880000,2160000,10080000,4320000,14643066,14891993,15206400,15408000,15609600,17736480,20553941,30464924
7,16800000,5880000,3360000,2520000,11760000,5040000,17083577,17373992,17740800,17976000,18211200,20692560,23979598,35542411
8,19200000,6720000,3840000,2880000,13440000,5760000,19524088,19855991,20275200,20544000,20812800,23648640,27405254,40619899
9,21600000,7560000,4320000,3240000,15120000,6480000,21964599,22337990,22809600,23112000,23414400,26604720,30830911,45697386
10,24000000,8400000,4800000,3600000,16800000,7200000,24405110,24819989,25344000,25680000,26016000,29560800,34256568,50774873
