ticker,銘柄,株式内比率,元本比率,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,保守実績仮説利回り,警戒理由
8053.T,住友商事,18.8%,13.1%,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,66.7,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
8316.T,三井住友FG,18.8%,13.1%,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,71.7,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6501.T,日立製作所,18.8%,13.1%,36.5,28.5,31.9,1.1,24.1,4.4,-38.7,-22.8,63.3,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6503.T,三菱電機,6.3%,4.4%,33.3,20,128.8,12.3,20.9,101.3,-34,-16.3,63.3,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6857.T,アドバンテスト,6.3%,4.4%,63.2,58.5,264.3,-6.2,50.8,236.8,-51.4,-28.9,55,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
8035.T,東京エレクトロン,6.3%,4.4%,29.5,38.2,130.3,16.6,17.1,102.7,-55.8,-28.8,60,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
7011.T,三菱重工,6.3%,4.4%,65.9,27.4,17.2,-22.2,53.5,-10.4,-35.8,-26.6,66.7,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
6762.T,TDK,6.3%,4.4%,34.9,26.5,146.4,57.7,22.6,118.9,-46.3,-28.2,53.3,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
6146.T,ディスコ,6.3%,4.4%,45.1,37,99.5,-15.6,32.7,72,-65.2,-24.7,61.7,37.0,5年最大下落が深い / 直近60日が弱い
5803.T,フジクラ,6.3%,4.4%,135,51.5,367.4,10.1,122.6,339.9,-50.7,-45.3,58.3,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
