口座数,元本合計,6/18-24初回投入,7/15前後追加,8/17-21追加,株式投入合計,現金待機,1年後_5年CAGR継続,1年後_10年CAGR継続,1年後_保守実績仮説,3年後_保守実績仮説,5年後_保守実績仮説,10年後_保守実績仮説
1,2400000,840000,480000,360000,1680000,720000,3144779,2881537,2873033,4361426,6878744,23630996
2,4800000,1680000,960000,720000,3360000,1440000,6289559,5763074,5746067,8722852,13757489,47261991
3,7200000,2520000,1440000,1080000,5040000,2160000,9434338,8644611,8619100,13084277,20636233,70892987
4,9600000,3360000,1920000,1440000,6720000,2880000,12579117,11526148,11492133,17445703,27514978,94523982
5,12000000,4200000,2400000,1800000,8400000,3600000,15723897,14407685,14365167,21807129,34393722,118154978
6,14400000,5040000,2880000,2160000,10080000,4320000,18868676,17289221,17238200,26168555,41272466,141785973
7,16800000,5880000,3360000,2520000,11760000,5040000,22013455,20170758,20111233,30529981,48151211,165416969
8,19200000,6720000,3840000,2880000,13440000,5760000,25158235,23052295,22984267,34891406,55029955,189047965
9,21600000,7560000,4320000,3240000,15120000,6480000,28303014,25933832,25857300,39252832,61908699,212678960
10,24000000,8400000,4800000,3600000,16800000,7200000,31447793,28815369,28730333,43614258,68787444,236309956
