口座数,ticker,銘柄,株式内比率,元本比率,6/18-24初回購入額,7/15前後追加購入額,8/17-21追加購入額,最終購入額,保守実績仮説利回り,警戒理由
1,8053.T,住友商事,18.8%,13.1%,157500,90000,67500,315000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
1,8316.T,三井住友FG,18.8%,13.1%,157500,90000,67500,315000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
1,6501.T,日立製作所,18.8%,13.1%,157500,90000,67500,315000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
1,6503.T,三菱電機,6.3%,4.4%,52500,30000,22500,105000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
1,6857.T,アドバンテスト,6.3%,4.4%,52500,30000,22500,105000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
1,8035.T,東京エレクトロン,6.3%,4.4%,52500,30000,22500,105000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
1,7011.T,三菱重工,6.3%,4.4%,52500,30000,22500,105000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
1,6762.T,TDK,6.3%,4.4%,52500,30000,22500,105000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
1,6146.T,ディスコ,6.3%,4.4%,52500,30000,22500,105000,37.0,5年最大下落が深い / 直近60日が弱い
1,5803.T,フジクラ,6.3%,4.4%,52500,30000,22500,105000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
2,8053.T,住友商事,18.8%,13.1%,315000,180000,135000,630000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
2,8316.T,三井住友FG,18.8%,13.1%,315000,180000,135000,630000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
2,6501.T,日立製作所,18.8%,13.1%,315000,180000,135000,630000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
2,6503.T,三菱電機,6.3%,4.4%,105000,60000,45000,210000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
2,6857.T,アドバンテスト,6.3%,4.4%,105000,60000,45000,210000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
2,8035.T,東京エレクトロン,6.3%,4.4%,105000,60000,45000,210000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
2,7011.T,三菱重工,6.3%,4.4%,105000,60000,45000,210000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
2,6762.T,TDK,6.3%,4.4%,105000,60000,45000,210000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
2,6146.T,ディスコ,6.3%,4.4%,105000,60000,45000,210000,37.0,5年最大下落が深い / 直近60日が弱い
2,5803.T,フジクラ,6.3%,4.4%,105000,60000,45000,210000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
3,8053.T,住友商事,18.8%,13.1%,472500,270000,202500,945000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
3,8316.T,三井住友FG,18.8%,13.1%,472500,270000,202500,945000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
3,6501.T,日立製作所,18.8%,13.1%,472500,270000,202500,945000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
3,6503.T,三菱電機,6.3%,4.4%,157500,90000,67500,315000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
3,6857.T,アドバンテスト,6.3%,4.4%,157500,90000,67500,315000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
3,8035.T,東京エレクトロン,6.3%,4.4%,157500,90000,67500,315000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
3,7011.T,三菱重工,6.3%,4.4%,157500,90000,67500,315000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
