updated_at,ticker,name,role,target_weight_pct,remaining_item,status,severity,order_action,confirmation
2026/06/13 23:23,8053.T,住友商事,中心候補,18.75,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,資源価格急落、円高急進、決算で利益見通しが弱い場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,8053.T,住友商事,中心候補,18.75,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,8316.T,三井住友FG,中心候補,18.75,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,日銀後に銀行株全体が急落、または信用コスト懸念が強まる場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,8316.T,三井住友FG,中心候補,18.75,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,6501.T,日立製作所,中心候補,18.75,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,大型株指数が弱く、同社が指数より弱い場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,6501.T,日立製作所,中心候補,18.75,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,6503.T,三菱電機,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,6503.T,三菱電機,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,FA関連や設備投資関連が弱い場合は小比率または保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,6503.T,三菱電機,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,6857.T,アドバンテスト,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,6857.T,アドバンテスト,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,米金利急騰、SOX急落、株価急騰後の反落リスクが強い場合は買わない。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,6857.T,アドバンテスト,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,8035.T,東京エレクトロン,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,8035.T,東京エレクトロン,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,SOX/NASDAQが弱い、または高PER株売りが強い場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,8035.T,東京エレクトロン,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,7011.T,三菱重工業,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,7011.T,三菱重工業,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,短期過熱後の反落、受注材料の織り込み過多が見える場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,7011.T,三菱重工業,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,6762.T,TDK,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,6762.T,TDK,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,電子部品株が指数より弱い、または為替悪化時は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,6762.T,TDK,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,6146.T,ディスコ,条件付き候補,6.25,価格・出来高データ,partial,確認,NISA・本人操作の確認が終わるまで注文不可,6/18以降に最新株価、5日/20日騰落、出来高、日経平均・TOPIXとの差を確認する。急騰直後または指数より弱い場合は小口または保留。
2026/06/13 23:23,6146.T,ディスコ,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,6146.T,ディスコ,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,急騰後、出来高を伴わない上昇、SOX弱化時は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,6146.T,ディスコ,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
2026/06/13 23:23,5803.T,フジクラ,条件付き候補,6.25,価格・出来高データ,partial,確認,NISA・本人操作の確認が終わるまで注文不可,6/18以降に最新株価、5日/20日騰落、出来高、日経平均・TOPIXとの差を確認する。急騰直後または指数より弱い場合は小口または保留。
2026/06/13 23:23,5803.T,フジクラ,条件付き候補,6.25,財務・公式決算,partial,重要,NISA・本人操作の確認が終わるまで注文不可,公式決算短信・IRでPER/PBR/ROE、営業利益率、受注・セグメント寄与を確認する。確認できない項目は推測で点数化しない。
2026/06/13 23:23,5803.T,フジクラ,条件付き候補,6.25,リスク・下落耐性,partial,重要,NISA・本人操作の確認が終わるまで注文不可,データセンター関連が反落、または短期過熱が強い場合は保留。 6/18以降に米金利、為替、日経平均、関連指数の悪化があれば保留。
2026/06/13 23:23,5803.T,フジクラ,条件付き候補,6.25,NISA・税制・本人操作,partial,停止条件,NISA・本人操作の確認が終わるまで注文不可,本人名義のNISA口座、本人スマホ、本人ログイン、本人操作、注文画面の口座区分、NISA残枠、配当金受取方式を確認する。未確認なら購入しない。
