ticker,name,risk_tier,target_weight_pct,risk_cap_pct,five_year_drawdown,one_year_drawdown,sixty_day_return,reaction_score,downside_rule,upside_rule,stop_limit_rule,current_action
8053.T,住友商事,中,18.75%,18.75%,-35.8%,-18.8%,11.9%,43.7,買付後-7%で追加停止、-12%で一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
8316.T,三井住友FG,中,18.75%,18.75%,-29.4%,-19.3%,0.8%,57.1,買付後-7%で追加停止、-12%で一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
6501.T,日立製作所,中高,18.75%,6.25%,-38.7%,-22.8%,1.1%,29.1,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
6503.T,三菱電機,中,6.25%,6.25%,-34%,-16.3%,12.3%,43.9,買付後-7%で追加停止、-12%で一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
6857.T,アドバンテスト,中高,6.25%,6.25%,-51.4%,-28.9%,-6.2%,20.4,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
8035.T,東京エレクトロン,高,6.25%,3%,-55.8%,-28.8%,16.6%,68.2,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+15%超かつ出来高急増なら一部利確候補。テーマ材料が数字に未接続なら比率を戻す,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
7011.T,三菱重工業,高,6.25%,3%,-35.8%,-26.6%,-22.2%,34.5,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+15%超かつ出来高急増なら一部利確候補。テーマ材料が数字に未接続なら比率を戻す,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
6762.T,TDK,中高,6.25%,6.25%,-46.3%,-28.2%,57.7%,91.6,買付後-7%で追加停止、-12%で一部縮小候補,+20%超で目標比率超過なら一部利確候補。決算根拠が継続なら保有,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
6146.T,ディスコ,高,6.25%,3%,-65.2%,-24.7%,-15.6%,32.3,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+15%超かつ出来高急増なら一部利確候補。テーマ材料が数字に未接続なら比率を戻す,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
5803.T,フジクラ,高,6.25%,3%,-50.7%,-45.3%,10.1%,0,買付後-5%で買い増し停止、-10%で保有継続理由を再確認、指数劣後が同時なら一部縮小候補,+15%超かつ出来高急増なら一部利確候補。テーマ材料が数字に未接続なら比率を戻す,ストップ安または前日比-10%以上なら当日買い増し禁止。翌営業日に出来高、気配、指数、材料の真偽を確認して再判定,現時点は注文不可
