作成時刻,キュー種別,優先度,ticker,銘柄,役割,入力項目,現状,確認先,合格条件,反映条件,スコア反映,禁止事項
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,PER,未確認,三菱電機IR/決算短信・説明資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,PBR,未確認,三菱電機IR/決算短信・説明資料,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,ROE,未確認,三菱電機IR/決算短信・説明資料,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,営業利益率,未確認,三菱電機IR/決算短信・説明資料,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,今期会社予想,未確認,三菱電機IR/決算短信・説明資料,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,前期比増減,未確認,三菱電機IR/決算短信・説明資料,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6503.T,三菱電機,条件付き候補,受注またはセグメント寄与,未確認,三菱電機IR/決算短信・説明資料,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,PER,未確認,アドバンテストIR/決算資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,PBR,未確認,アドバンテストIR/決算資料,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,ROE,未確認,アドバンテストIR/決算資料,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,営業利益率,未確認,アドバンテストIR/決算資料,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
