account_id,owner_name,broker,nisa_status,phone_status,bank_status,two_factor,nisa_remaining_yen,event_scenario,account_ready,account_buy_upper_yen,missing_items,next_action,operation_rule
口座1,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座2,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座3,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座4,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座5,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座6,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座7,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座8,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座9,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
口座10,未入力,未入力,未確認,未確認,未確認,未確認,未入力,未入力あり,購入不可,0円,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認,本人名義スマホ・本人ログイン・本人操作。第三者がID/PWを預からない
