account_id,owner_name,ticker,name,role,target_weight_pct,order_upper_yen,order_status,required_screen_check
口座1,未入力,8053.T,住友商事,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,8316.T,三井住友FG,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,6501.T,日立製作所,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,6503.T,三菱電機,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,6857.T,アドバンテスト,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,8035.T,東京エレクトロン,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,7011.T,三菱重工業,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,6762.T,TDK,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,6146.T,ディスコ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座1,未入力,5803.T,フジクラ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,8053.T,住友商事,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,8316.T,三井住友FG,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,6501.T,日立製作所,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,6503.T,三菱電機,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,6857.T,アドバンテスト,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,8035.T,東京エレクトロン,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,7011.T,三菱重工業,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,6762.T,TDK,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,6146.T,ディスコ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座2,未入力,5803.T,フジクラ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,8053.T,住友商事,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,8316.T,三井住友FG,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,6501.T,日立製作所,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,6503.T,三菱電機,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,6857.T,アドバンテスト,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,8035.T,東京エレクトロン,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,7011.T,三菱重工業,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,6762.T,TDK,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,6146.T,ディスコ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座3,未入力,5803.T,フジクラ,条件付き候補,6.25%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
口座4,未入力,8053.T,住友商事,中心候補,18.75%,0円,注文不可,証券会社画面で口座区分がNISAになっていることを本人が確認
