作成時刻,ticker,name,source_name,source_date,source_url,metric,value,unit,period,yoy,source_line,input_judgement,score_reflection
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,売上高,"5,894,747",百万円,2026年3月期,+6.8%,PDF p1 L55-L62,公式候補,入力候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,営業利益,"433,095",百万円,2026年3月期,+10.5%,PDF p1 L55-L62,公式候補,入力候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,親会社株主帰属当期純利益,"407,758",百万円,2026年3月期,+25.8%,PDF p1 L55-L62,公式候補,入力候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,EPS,198.31,円,2026年3月期,,PDF p1 L63-L78,公式候補,PER計算候補。株価基準日が必要
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,ROE,9.7,%,2026年3月期,,PDF p1 L69-L78,公式候補,入力候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,営業利益率,7.3,%,2026年3月期,,PDF p1 L69-L78,公式候補,入力候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,BPS,"2,191.26",円,2026年3月期末,,PDF p1 L80-L90,公式候補,PBR計算候補。株価基準日が必要
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2027年3月期 売上高予想,"6,200,000",百万円,2027年3月期予想,+5.2%,PDF p1 L115-L122,公式候補,会社予想候補。検算後に反映
2026/6/16 3:04:33,6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2027年3月期 EPS予想,231.01,円,2027年3月期予想,,PDF p1 L115-L122,公式候補,予想PER計算候補。株価基準日が必要
2026/6/16 3:04:33,6762.T,TDK,Consolidated Financial Results for FY March 2026,2026-04-28,https://www.tdk.com/system/files/2026042800_0mqf56xw_en.pdf,Net sales,"2,504,820",million yen,FY March 2026,+13.6%,PDF p1 L56-L71,公式候補,入力候補。検算後に反映
