種別,対象,現在入力,不足,判定,買付影響,次処理
イベント,E01 2026-06-10 米5月CPI,実数=入力済み/確認中 / 反応=注意 / 判定=注意,実数未確定,未入力: 全体停止,全銘柄0円,実数、市場反応、判定入力を埋める
イベント,E02 2026-06-15〜2026-06-16 日銀会合,実数=空欄 / 反応=空欄 / 判定=空欄,実数未確定 / 市場反応未入力 / 判定未入力,未入力: 全体停止,全銘柄0円,実数、市場反応、判定入力を埋める
イベント,E03 2026-06-16〜2026-06-17 FOMC,実数=空欄 / 反応=空欄 / 判定=空欄,実数未確定 / 市場反応未入力 / 判定未入力,未入力: 全体停止,全銘柄0円,実数、市場反応、判定入力を埋める
イベント,E04 2026-06-18以降 最終購入前確認,実数=空欄 / 反応=空欄 / 判定=空欄,実数未確定 / 市場反応未入力 / 判定未入力,未入力: 全体停止,全銘柄0円,実数、市場反応、判定入力を埋める
本人別口座,口座1,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座2,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座3,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座4,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座5,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座6,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座7,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座8,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座9,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
本人別口座,口座10,本人=空欄 / 証券=空欄 / NISA=空欄 / 残枠=空欄,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認: 本人別0円,該当本人分は注文票へ反映しない,本人名義スマホ、本人ログイン、NISA区分、残枠を確認する
