ticker,銘柄,資料名,資料URL,抽出項目,抽出値,単位,抽出状態,根拠スニペット,入力CSV反映,次確認
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,売上高,"5,894,747",百万円,抽出候補,"率） 売上高 営業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 当期包括利益 合計額 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 5,894,747 6.8 433,095 10.5 526,077 20.3 407,758 25.8 783,381 107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.0 7.1 （参考）持分法による投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株",反映しない,目視確認後に入力候補。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,売上高 前期比,+6.8,%,抽出候補,"率） 売上高 営業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 当期包括利益 合計額 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 5,894,747 6.8 433,095 10.5 526,077 20.3 407,758 25.8 783,381 107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.0 7.1 （参考）持分法による投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株",反映しない,目視確認後に入力候補。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,営業利益,"433,095",百万円,抽出候補,"告書提出予定日 2026年6月19日 決算補足説明資料作成の有無：有 決算説明会開催の有無 ：有 （百万円未満切捨て） （1）連結経営成績 （％表示は対前期増減率） 売上高 営業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 当期包括利益 合計額 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 5,894,747 6.8 433,095 10.5 526,077 20.3 407,758 25.8 783,381 107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.",反映しない,IFRS。目視確認後に入力候補。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,営業利益 前期比,+10.5,%,抽出候補,"告書提出予定日 2026年6月19日 決算補足説明資料作成の有無：有 決算説明会開催の有無 ：有 （百万円未満切捨て） （1）連結経営成績 （％表示は対前期増減率） 売上高 営業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 当期包括利益 合計額 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 5,894,747 6.8 433,095 10.5 526,077 20.3 407,758 25.8 783,381 107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.",反映しない,目視確認後に入力候補。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,EPS,198.31,円,抽出候補,"83,381 107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.0 7.1 （参考）持分法による投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株主に 帰属する持分 親会社株主 帰属持分比率 1株当たり親会社 株主帰属持分 百万円 百万円 百万円 ％ 円 銭 2026年3月期 7,357,512 4,629,993 4,484,266 60.9 2,191.26 2025年3月期 6,375,680 4,076,366 3,9",反映しない,実績EPS。PER計算には株価基準日が別途必要。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,ROE,9.7,%,抽出候補,"107.7 2025年3月期 5,521,711 5.0 391,850 19.3 437,265 19.5 324,084 13.7 377,112 △43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.0 7.1 （参考）持分法による投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株主に 帰属する持分 親会社株主 帰属持分比率 1株当たり親会社 株主帰属持分 百万円 百万円 百万円 ％ 円 銭 2026年3月期 7,357,512 4,629,993 4,484,266 60.9 2,191.26 2025年3月期 6,375,680 4,076,366 3,949,678",反映しない,会社資料上の親会社株主帰属持分当期純利益率。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,営業利益率,7.3,%,抽出候補,"△43.8 1株当たり 親会社株主に 帰属する当期純利益 希薄化後1株当たり 親会社株主に 帰属する当期純利益 親会社株主 帰属持分 当期純利益率 資産合計税引前 当期純利益率 売上高 営業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 198.31 198.31 9.7 7.7 7.3 2025年3月期 155.70 155.70 8.4 7.0 7.1 （参考）持分法による投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株主に 帰属する持分 親会社株主 帰属持分比率 1株当たり親会社 株主帰属持分 百万円 百万円 百万円 ％ 円 銭 2026年3月期 7,357,512 4,629,993 4,484,266 60.9 2,191.26 2025年3月期 6,375,680 4,076,366 3,949,678 61.9 1,903.11 営業活動による キャッシュ・フロー 投資活動による キャッシュ・フロー 財務活動による キャッシュ・フロー 現金及び現金",反映しない,実績営業利益率。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,BPS,"2,191.26",円,抽出候補,"よる投資利益 2026年3月期 69,631百万円 2025年3月期 38,979百万円 資産合計 資本合計 （純資産） 親会社株主に 帰属する持分 親会社株主 帰属持分比率 1株当たり親会社 株主帰属持分 百万円 百万円 百万円 ％ 円 銭 2026年3月期 7,357,512 4,629,993 4,484,266 60.9 2,191.26 2025年3月期 6,375,680 4,076,366 3,949,678 61.9 1,903.11 営業活動による キャッシュ・フロー 投資活動による キャッシュ・フロー 財務活動による キャッシュ・フロー 現金及び現金同等物 期末残高 百万円 百万円 百万円 百万円 2026年3月期 575,993 △344,407 △304,817 731,609 2025年3月期 455,905 △191,750 △265,333 757,331 年間配当金 配当金 総額 (合計) 配当性向 （連結） 親会社株主 帰属持分 配当率 （連結） 第1四半期末 第2四半期末 第3四半期末 期末 合計 円 銭 円",反映しない,PBR計算には株価基準日が別途必要。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,会社予想 売上高,"6,200,000",百万円,抽出候補,"業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 1株当たり 親会社株主に 帰属する当期純利益 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 円 銭 通期 6,200,000 5.2 590,000 17.7 640,000 21.7 475,000 16.5 231.01 1．2026年3月期の連結業績（2025年4月1日～2026年3月31日） （2）連結財政状態 （3）連結キャッシュ・フローの状況 2．配当の状況 （注）2026年3月期の期末配当は、5月に開催する取締役会において確定します。 現時点では2027年3月期の配当予想額は未定です。配当予想を決定しましたら速やかに開示いたします。 3．2027年3月期の連結業績予想（2026年4月1日～2027年3月31日） -- 2 of 18 -- ① 期末発行済株式数（自己株式を含む） 2026年3月期 2,113,201,551株 2025年3月期 2,113,201,551株 ② 期末自己株式数 2026年3月期 66,765,775株 2025年3月期 37,817,223株 ③ 期中平均株式数 2",反映しない,2027年3月期通期予想。
6503.T,三菱電機,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,会社予想 EPS,231.01,円,抽出候補,"業利益 税引前当期純利益 親会社株主に 帰属する当期純利益 1株当たり 親会社株主に 帰属する当期純利益 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 円 銭 通期 6,200,000 5.2 590,000 17.7 640,000 21.7 475,000 16.5 231.01 1．2026年3月期の連結業績（2025年4月1日～2026年3月31日） （2）連結財政状態 （3）連結キャッシュ・フローの状況 2．配当の状況 （注）2026年3月期の期末配当は、5月に開催する取締役会において確定します。 現時点では2027年3月期の配当予想額は未定です。配当予想を決定しましたら速やかに開示いたします。 3．2027年3月期の連結業績予想（2026年4月1日～2027年3月31日） -- 2 of 18 -- ① 期末発行済株式数（自己株式を含む） 2026年3月期 2,113,201,551株 2025年3月期 2,113,201,551株 ② 期末自己株式数 2026年3月期 66,765,775株 2025年3月期 37,817,223株 ③ 期中平均株式数 2",反映しない,2027年3月期通期予想EPS。
