ticker,銘柄,入力項目,PDF抽出候補値,単位,転記レビュー,公式確認扱い,反映可否,出所区分,参照資料,参照URL,資料日付,未反映理由,次作業
6503.T,三菱電機,PER,未計算,倍,反映不可,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,PDFだけでは計算不可。株価基準日とEPS基準を指定する必要がある。,株価基準日を決め、EPS基準を実績か会社予想かに分けて計算する。
6503.T,三菱電機,PBR,未計算,倍,反映不可,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,PDFだけでは計算不可。株価基準日とBPS基準を指定する必要がある。,株価基準日を決め、BPS 2191.26円を使うかを目視確認する。
6503.T,三菱電機,ROE_pct,9.7,%,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,PDF抽出候補。入力には目視確認と資料欄の記録が必要。,決算短信の該当表を目視確認し、正しければ入力状態を公式確認済みに変更する。
6503.T,三菱電機,営業利益率_pct,7.3,%,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,PDF抽出候補。入力には目視確認と資料欄の記録が必要。,決算短信の連結経営成績欄で営業利益率を確認する。
6503.T,三菱電機,今期会社予想_前期比,売上高 +5.2%、営業利益 +17.7%、税引前当期純利益 +21.7%、親会社株主帰属当期純利益 +16.5%、予想EPS 231.01円,,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,PDFの通期予想欄から整理した候補。文章として入力する前に表の年度を確認する。,通期予想の対象期間と前期比を確認し、入力欄へ要約する。
6503.T,三菱電機,参照URLまたは資料名,2026年3月期 決算短信〔IFRS〕一部訂正版 / https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,,転記候補,公式確認済みにしない,反映しない,公式PDF候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,公式PDF候補のURL。資料自体は取得済みだが、値の目視照合前。,入力フォームの出所欄に転記し、該当値を確認する。
6503.T,三菱電機,資料日付,2026/06/11（訂正開示日。原開示2026/04/28）,,転記候補,公式確認済みにしない,反映しない,公式PDF候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,資料日付候補。訂正開示日と原開示日を区別して記録する。,資料表紙または会社IRページで日付を確認する。
6503.T,三菱電機,入力状態,候補値・要目視確認,,確認状態指定,公式確認済みにしない,反映しない,運用状態,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,公式確認済みではないため、検算上は未完了に残す。,目視確認が終わるまでは公式確認済みに変更しない。
6503.T,三菱電機,受注またはセグメント寄与,未抽出,,反映不可,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,2026/06/11（訂正開示日。原開示2026/04/28）,決算短信の自動抽出だけでは、候補選定に必要なセグメント寄与の説明が不足。,決算説明資料またはセグメント情報ページから、成長事業・利益寄与を別途確認する。
8035.T,東京エレクトロン,PER,未計算,倍,反映不可,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,PDFだけでは計算不可。株価基準日とEPS基準を指定する必要がある。,株価基準日を決め、実績EPSまたは予想EPSを分けて計算する。
8035.T,東京エレクトロン,PBR,未計算,倍,反映不可,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,PDFだけでは計算不可。株価基準日とBPS基準を指定する必要がある。,株価基準日を決め、BPS 4498.85円を使うかを目視確認する。
8035.T,東京エレクトロン,ROE_pct,29.6,%,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,PDF抽出候補。入力には目視確認と資料欄の記録が必要。,決算短信の該当表を目視確認し、正しければ入力状態を公式確認済みに変更する。
8035.T,東京エレクトロン,営業利益率_pct,25.6,%,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,PDF抽出候補。入力には目視確認と資料欄の記録が必要。,決算短信の連結経営成績欄で営業利益率を確認する。
8035.T,東京エレクトロン,今期会社予想_前期比,第2四半期累計予想: 売上高 +33.1%、営業利益 +42.2%、経常利益 +42.4%、親会社株主帰属四半期純利益 +35.7%、予想EPS 721.12円（通期予想ではない）,,転記候補,公式確認済みにしない,反映しない,PDF抽出候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,第2四半期累計予想であり、通期予想ではない。誤って通期扱いにしない。,入力時は第2四半期累計予想と明記し、通期予想は追加開示待ちにする。
8035.T,東京エレクトロン,参照URLまたは資料名,2026年3月期 決算短信〔日本基準〕 / https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,,転記候補,公式確認済みにしない,反映しない,公式PDF候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,公式PDF候補のURL。資料自体は取得済みだが、値の目視照合前。,入力フォームの出所欄に転記し、該当値を確認する。
8035.T,東京エレクトロン,資料日付,2026/04/30,,転記候補,公式確認済みにしない,反映しない,公式PDF候補,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,2026/04/30,資料日付候補。入力前にPDF表紙の日付と一致するか確認する。,資料表紙または会社IRページで日付を確認する。
