ticker,銘柄,ゲート,入力ID,入力項目,候補値,処理,確認区分,理由,出所
6503.T,三菱電機,価格ゲート,6503_price_date,株価計算日,2026-05-20,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,150_trend_candidate_price_metrics.csv
6503.T,三菱電機,価格ゲート,6503_current_price,直近株価,"5,740円",反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,150_trend_candidate_price_metrics.csv
6503.T,三菱電機,価格ゲート,6503_return_60d,60日騰落率,4.99%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,150_trend_candidate_price_metrics.csv
6503.T,三菱電機,価格ゲート,6503_return_1y,1年騰落率,95.24%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,150_trend_candidate_price_metrics.csv
6503.T,三菱電機,価格ゲート,6503_cagr_5y,5年CAGR,33.3%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
6503.T,三菱電機,価格ゲート,6503_cagr_10y,10年CAGR,20%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
6503.T,三菱電機,価格ゲート,6503_max_drawdown_1y,1年最大下落率,-11.26%,見送り,未,候補値が20日最大下落率であり、1年最大下落率として転記できない。,150_trend_candidate_price_metrics.csv
6503.T,三菱電機,価格ゲート,6503_sp500_gap_1y,S&P500との差,101.3%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
6503.T,三菱電機,説明可能性ゲート,6503_one_line_reason,1行の残す理由,電力制御・FA・データセンター周辺需要を確認対象にする。ただし全社利益への寄与を公式資料で確認するまでP1復帰しない。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
6503.T,三菱電機,説明可能性ゲート,6503_keep_condition,残す条件,PER/PBR/ROE、営業利益率、事業別成長、6月イベント後の指数比反応がそろい、過熱・急落条件に抵触しない場合のみ残す。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
6503.T,三菱電機,説明可能性ゲート,6503_drop_condition,落とす条件,6月イベント後に指数比で弱い、FA・電力関連の全社寄与が確認できない、または高値圏からの急落リスクが強い場合は落とす。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
6503.T,三菱電機,説明可能性ゲート,6503_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、事業別成長、イベント後反応、銘柄別上値・下値ルール。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
