No,ticker,銘柄,ゲート,入力ID,入力項目,候補値,現在の扱い,次アクション,転記可否,確認内容,リスク,取得元,参照URL,公式確認,スコア反映,P1復帰,買付上限
1,6503.T,三菱電機,財務ゲート,6503_per_official,PER,27.96倍,公式確認候補,PDF目視確認,確認後可,PDF原文のEPS/BPSと株価基準日、計算式を照合する。合えば入力キューへ転記する。,株価基準日と分母が合わない場合は転記しない。,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,未,禁止,0社,0円
2,6503.T,三菱電機,財務ゲート,6503_pbr_official,PBR,2.53倍,公式確認候補,PDF目視確認,確認後可,PDF原文のEPS/BPSと株価基準日、計算式を照合する。合えば入力キューへ転記する。,株価基準日と分母が合わない場合は転記しない。,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,未,禁止,0社,0円
3,6503.T,三菱電機,財務ゲート,6503_roe_official,ROE,9.67%,参考のみ,公式IRで置換,保留,Yahoo参照値は比較用。ROE等は決算短信、有報、会社資料で確認してから入力する。,出所が公式IRではないため、そのまま公式確認済みにしない。,154_trend_candidate_yahoojp_metrics.csv,https://finance.yahoo.co.jp/quote/6503.T,未,禁止,0社,0円
4,6503.T,三菱電機,財務ゲート,6503_operating_margin,営業利益率,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
5,6503.T,三菱電機,財務ゲート,6503_order_or_segment_growth,受注・事業別売上/利益の伸び,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
6,6503.T,三菱電機,価格ゲート,6503_price_date,株価計算日,2026-05-20,確認候補,出所確認,保留,出所、基準日、単位、計算式を確認してから転記する。,未確認値はスコアへ反映しない。,150_trend_candidate_price_metrics.csv,,未,禁止,0社,0円
7,6503.T,三菱電機,価格ゲート,6503_current_price,直近株価,"5,740円",確認候補,出所確認,保留,出所、基準日、単位、計算式を確認してから転記する。,未確認値はスコアへ反映しない。,150_trend_candidate_price_metrics.csv,,未,禁止,0社,0円
8,6503.T,三菱電機,価格ゲート,6503_return_60d,60日騰落率,4.99%,確認候補,出所確認,保留,出所、基準日、単位、計算式を確認してから転記する。,未確認値はスコアへ反映しない。,150_trend_candidate_price_metrics.csv,,未,禁止,0社,0円
9,6503.T,三菱電機,価格ゲート,6503_return_1y,1年騰落率,95.24%,確認候補,出所確認,保留,出所、基準日、単位、計算式を確認してから転記する。,未確認値はスコアへ反映しない。,150_trend_candidate_price_metrics.csv,,未,禁止,0社,0円
10,6503.T,三菱電機,価格ゲート,6503_cagr_5y,5年CAGR,33.3%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
11,6503.T,三菱電機,価格ゲート,6503_cagr_10y,10年CAGR,20%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
12,6503.T,三菱電機,価格ゲート,6503_max_drawdown_1y,1年最大下落率,-11.26%,転記禁止,1年最大下落率を再計算,不可,候補値は20日最大下落率で、入力項目の1年最大下落率と期間が違う。,このまま使うと下落リスクを過小評価する。,150_trend_candidate_price_metrics.csv,,未,禁止,0社,0円
