区分,対象,優先度,入力ファイル,入力項目,合格条件,反映先,現状,次アクション
6月イベント,E01 米5月CPI,高,102_june_event_result_input.csv,actual_value / market_reaction / current_status,インフレ再加速と米金利急騰が同時に起きず、NASDAQ/SOXが大崩れしない,june_event_input_decision_board / integrated_purchase_decision_engine,注意,実数と市場反応を再確認し、黄または赤の扱いを決める
6月イベント,E02 日銀会合,最重要,102_june_event_result_input.csv,actual_value / market_reaction / current_status,急な円高ショックと日本株指数の大幅下落が同時に出ない,june_event_input_decision_board / integrated_purchase_decision_engine,未入力,イベント結果と市場反応を入力する
6月イベント,E03 FOMC,最重要,102_june_event_result_input.csv,actual_value / market_reaction / current_status,米長期金利が急騰せず、ハイテク株のリスク許容度が崩れない,june_event_input_decision_board / integrated_purchase_decision_engine,未入力,イベント結果と市場反応を入力する
6月イベント,E04 最終購入前確認,最重要,102_june_event_result_input.csv,actual_value / market_reaction / current_status,停止条件なし、未確認データを点数に混ぜない、本人操作とNISA口座区分を確認,june_event_input_decision_board / integrated_purchase_decision_engine,未入力,イベント結果と市場反応を入力する
本人別NISA口座,口座1,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座2,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座3,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座4,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座5,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座6,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座7,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座8,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座9,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
本人別NISA口座,口座10,最重要,nisa_account_execution_gate_20260614.csv,owner_name / broker / nisa_status / phone_status / bank_status / two_factor / nisa_remaining_yen,本人名義スマホ・本人ログイン・NISA口座区分・NISA残枠・二段階認証が確認済み,nisa_account_execution_gate / integrated_purchase_decision_engine / 注文票,購入不可,本人名、証券会社、NISA口座、本人スマホ、本人銀行口座、二段階認証、NISA残枠を確認
公式財務補完,6503.T 三菱電機,最重要,candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,公式IR・決算短信・決算説明資料で数値確認。未確認値はスコアに混ぜない,candidate10_financial_confirmation_gate / remaining_gap / integrated_purchase_decision_engine,partial,三菱電機IR/決算短信・説明資料 を確認。公式資料で数値を入れる
公式財務補完,6857.T アドバンテスト,高,candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,公式IR・決算短信・決算説明資料で数値確認。未確認値はスコアに混ぜない,candidate10_financial_confirmation_gate / remaining_gap / integrated_purchase_decision_engine,partial,アドバンテストIR/決算資料 を確認。財務確認しても小口候補へ上げるには指数・反応改善が必要
公式財務補完,8035.T 東京エレクトロン,高,candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,公式IR・決算短信・決算説明資料で数値確認。未確認値はスコアに混ぜない,candidate10_financial_confirmation_gate / remaining_gap / integrated_purchase_decision_engine,partial,東京エレクトロンIR/決算短信 を確認。財務確認しても小口候補へ上げるには指数・反応改善が必要
