区分,対象,検査結果,不足項目,再判定への影響,次アクション
6月イベント,E01 米5月CPI,NG,入力する実数,全銘柄0円継続,実数、反応、判定を入力
6月イベント,E02 日銀会合,NG,入力する実数 / 市場反応 / 判定入力,全銘柄0円継続,実数、反応、判定を入力
6月イベント,E03 FOMC,NG,入力する実数 / 市場反応 / 判定入力,全銘柄0円継続,実数、反応、判定を入力
6月イベント,E04 最終購入前確認,NG,入力する実数 / 市場反応 / 判定入力,全銘柄0円継続,実数、反応、判定を入力
本人別NISA口座,口座1,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座2,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座3,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座4,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座5,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座6,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座7,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座8,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座9,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
本人別NISA口座,口座10,NG,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,該当口座0円継続,本人別の口座状態と残枠を入力
公式財務partial,6503.T 三菱電機,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,6857.T アドバンテスト,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,8035.T 東京エレクトロン,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,7011.T 三菱重工業,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,6762.T TDK,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,6146.T ディスコ,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,比率引上げ禁止,公式IRで不足項目を補完
公式財務partial,5803.T フジクラ,NG,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,比率引上げ禁止,公式IRで不足項目を補完
