"stage","trigger","ticker","name","amount_yen","condition","purpose"
"第2段階","5営業日後","8306.T","三菱UFJ FG","96000","対TOPIX-5pt以下でない、悪材料なし、銀行集中が上限内","銀行補完枠を半分開始"
"第2段階","5営業日後","8750.T","第一生命HD","84000","指数急落なし、金利環境悪化なし、保険集中が上限内","保険枠を半分開始"
"第2段階","5営業日後","8630.T","SOMPO HD","84000","指数急落なし、金利環境悪化なし、保険集中が上限内","保険枠を半分開始"
"第2段階","5営業日後","8795.T","T&D HD","60000","EV中位のため少額、悪材料なし","保険補完枠を少額開始"
"第2段階","5営業日後","8411.T","みずほFG","48000","銀行比率上限に注意、悪材料なし","銀行補完枠を最小額で開始"
"第3段階","20営業日・決算確認後","3099.T","三越伊勢丹HD","20000","初回後の対TOPIX反応が悪くない、決算・月次悪化なし","目標比率9%への差額"
"第3段階","20営業日・決算確認後","5333.T","日本ガイシ","15000","初回後の対TOPIX反応が悪くない、決算・テーマ悪化なし","目標比率7%への差額"
"第3段階","20営業日・決算確認後","6479.T","ミネベアミツミ","17000","初回後の対TOPIX反応が悪くない、電子部品市況悪化なし","目標比率8%への差額"
"第3段階","20営業日・決算確認後","8316.T","三井住友FG","22000","銀行集中が上限内、金利環境悪化なし","目標比率10%への差額"
"第3段階","20営業日・決算確認後","1942.T","関電工","22000","電力インフラ需要の確認継続、悪材料なし","目標比率10%への差額"
"第3段階","20営業日・決算確認後","8306.T","三菱UFJ FG","96000","第2段階後の反応が弱くない、銀行集中が上限内","目標比率8%へ到達"
"第3段階","20営業日・決算確認後","8750.T","第一生命HD","84000","第2段階後の反応が弱くない、保険集中が上限内","目標比率7%へ到達"
"第3段階","20営業日・決算確認後","8630.T","SOMPO HD","84000","第2段階後の反応が弱くない、保険集中が上限内","目標比率7%へ到達"
"第3段階","20営業日・決算確認後","8795.T","T&D HD","60000","第2段階後の反応が弱くない、保険集中が上限内","目標比率5%へ到達"
"第3段階","20営業日・決算確認後","8411.T","みずほFG","48000","第2段階後の反応が弱くない、銀行集中が上限内","目標比率4%へ到達"
"条件良好時上振れ","地合い良好時のみ","1942.T","関電工","48000","指数が強く、金利・為替・悪材料なし、個別も過熱しすぎない","85%投入へ上げるEV上位加算"
"条件良好時上振れ","地合い良好時のみ","8316.T","三井住友FG","48000","指数が強く、金利・為替・悪材料なし、個別も過熱しすぎない","85%投入へ上げるEV上位加算"
"条件良好時上振れ","地合い良好時のみ","3099.T","三越伊勢丹HD","48000","指数が強く、金利・為替・悪材料なし、個別も過熱しすぎない","85%投入へ上げるEV上位加算"
"条件良好時上振れ","地合い良好時のみ","8306.T","三菱UFJ FG","48000","指数が強く、金利・為替・悪材料なし、銀行集中が上限内","85%投入へ上げるEV上位加算"
"条件良好時上振れ","地合い良好時のみ","6479.T","ミネベアミツミ","48000","指数が強く、金利・為替・悪材料なし、個別も過熱しすぎない","85%投入へ上げるEV上位加算"
