"scenario","total_initial_yen","ticker","name","amount_yen","basis","do_not_buy"
"基本案40%","960000","3099.T","三越伊勢丹HD","196000","初回主力。目標比率9%を初回40%へ按分","当日+3%以上急騰、悪材料、指数急落なら買わない"
"基本案40%","960000","5333.T","日本ガイシ","153000","初回主力。目標比率7%を初回40%へ按分","当日+3%以上急騰、悪材料、指数急落なら買わない"
"基本案40%","960000","6479.T","ミネベアミツミ","175000","初回主力。目標比率8%を初回40%へ按分","当日+3%以上急騰、悪材料、指数急落なら買わない"
"基本案40%","960000","8316.T","三井住友FG","218000","初回主力。目標比率10%を初回40%へ按分","当日+3%以上急騰、悪材料、指数急落なら買わない"
"基本案40%","960000","1942.T","関電工","218000","初回主力。目標比率10%を初回40%へ按分","当日+3%以上急騰、悪材料、指数急落なら買わない"
"慎重案30%","720000","3099.T","三越伊勢丹HD","146000","初回主力。目標比率を30%へ縮小","1銘柄でも条件不一致ならその分は現金待機"
"慎重案30%","720000","5333.T","日本ガイシ","115000","初回主力。目標比率を30%へ縮小","1銘柄でも条件不一致ならその分は現金待機"
"慎重案30%","720000","6479.T","ミネベアミツミ","131000","初回主力。目標比率を30%へ縮小","1銘柄でも条件不一致ならその分は現金待機"
"慎重案30%","720000","8316.T","三井住友FG","164000","初回主力。目標比率を30%へ縮小","1銘柄でも条件不一致ならその分は現金待機"
"慎重案30%","720000","1942.T","関電工","164000","初回主力。目標比率を30%へ縮小","1銘柄でも条件不一致ならその分は現金待機"
