ticker,name,as_of,current_price,start_5y_date,start_5y_price,total_5y_pct,annual_avg_5y_pct,start_10y_date,start_10y_price,total_10y_pct,annual_avg_10y_pct,source,note
3099.T,?????HD,2026-06-25,4132.0,2021-06-25,734.54,462.5,41.3,2016-06-27,795.86,419.2,17.9,Yahoo Finance chart API adjusted close,???????????????????????????????????
5333.T,?????,2026-06-25,7853.0,2021-06-25,1662.88,372.3,36.4,2016-06-27,1506.63,421.2,18.0,Yahoo Finance chart API adjusted close,???????????????????????????????????
6479.T,???????,2026-06-25,5246.0,2021-06-25,2624.06,99.9,14.9,2016-06-27,572.29,816.7,24.8,Yahoo Finance chart API adjusted close,???????????????????????????????????
8316.T,????FG,2026-06-25,6340.0,2021-06-25,1057.42,499.6,43.1,2016-06-27,627.19,910.9,26.0,Yahoo Finance chart API adjusted close,???????????????????????????????????
1942.T,???,2026-06-25,6673.0,2021-06-25,751.11,788.4,54.8,2016-06-27,629.8,959.5,26.6,Yahoo Finance chart API adjusted close,???????????????????????????????????
8306.T,??UFJ FG,2026-06-25,3233.0,2021-06-25,508.44,535.9,44.8,2016-06-27,314.98,926.4,26.2,Yahoo Finance chart API adjusted close,???????????????????????????????????
8750.T,????HD,2026-06-25,1705.5,2021-06-25,428.72,297.8,31.8,2016-06-27,193.61,780.9,24.3,Yahoo Finance chart API adjusted close,???????????????????????????????????
8630.T,SOMPO HD,2026-06-25,6105.0,2021-06-25,1155.64,428.3,39.5,2016-06-27,624.73,877.2,25.6,Yahoo Finance chart API adjusted close,???????????????????????????????????
8795.T,T&D HD,2026-06-25,4690.0,2021-06-25,1229.0,281.6,30.7,2016-06-27,615.3,662.2,22.5,Yahoo Finance chart API adjusted close,???????????????????????????????????
8411.T,???FG,2026-06-25,7725.0,2021-06-25,1316.61,486.7,42.5,2016-06-27,982.12,686.6,22.9,Yahoo Finance chart API adjusted close,???????????????????????????????????
