ticker,銘柄,役割,財務状態,100社扱い,期待仮説信頼度,決算後反応,最大下落,ロック内容,現時点の扱い,次アクション
8053.T,住友商事,中心候補,pass,再選定候補,B,43.7,-35.8%,財務確認済み。ただしイベント・口座未完了中は購入不可,購入不可,6月イベント・口座確認後に再判定
8316.T,三井住友FG,中心候補,pass,再選定候補,A,57.1,-29.4%,財務確認済み。ただしイベント・口座未完了中は購入不可,購入不可,6月イベント・口座確認後に再判定
6501.T,日立製作所,中心候補,pass,再選定候補,C,29.1,-38.7%,期待リターン信頼度Cのため保守扱い / 決算後反応が弱いため追加停止候補,購入不可,6月イベント・口座確認後に再判定
6503.T,三菱電機,条件付き候補,partial,再選定候補,B,43.9,-34.0%,財務未確認を理由に比率引上げ禁止,購入不可,公式IR不足項目を補完してから再判定
6857.T,アドバンテスト,条件付き候補,partial,監視,C,20.4,-51.4%,財務未確認を理由に比率引上げ禁止 / 監視扱いのため少額または保留 / 期待リターン信頼度Cのため保守扱い / 過去最大下落が大きいため上限抑制 / 決算後反応が弱いため追加停止候補,購入不可,公式IR不足項目を補完してから再判定
8035.T,東京エレクトロン,条件付き候補,partial,監視,B,68.2,-55.8%,財務未確認を理由に比率引上げ禁止 / 監視扱いのため少額または保留 / 過去最大下落が大きいため上限抑制,購入不可,公式IR不足項目を補完してから再判定
7011.T,三菱重工業,条件付き候補,partial,除外,C,34.5,-35.8%,財務未確認を理由に比率引上げ禁止 / 100社再選定で除外のため初回買付不可 / 期待リターン信頼度Cのため保守扱い / 決算後反応が弱いため追加停止候補,購入不可,公式IR不足項目を補完してから再判定
6762.T,TDK,条件付き候補,partial,再選定候補,B,91.6,-46.3%,財務未確認を理由に比率引上げ禁止 / 過去最大下落が大きいため上限抑制,購入不可,公式IR不足項目を補完してから再判定
6146.T,ディスコ,条件付き候補,partial,除外,C,32.3,-65.2%,財務未確認を理由に比率引上げ禁止 / 100社再選定で除外のため初回買付不可 / 期待リターン信頼度Cのため保守扱い / 過去最大下落が大きいため上限抑制 / 決算後反応が弱いため追加停止候補,購入不可,公式IR不足項目を補完してから再判定
5803.T,フジクラ,条件付き候補,partial,除外,C,0,-50.7%,財務未確認を理由に比率引上げ禁止 / 100社再選定で除外のため初回買付不可 / 期待リターン信頼度Cのため保守扱い / 過去最大下落が大きいため上限抑制 / 決算後反応が弱いため追加停止候補,購入不可,公式IR不足項目を補完してから再判定
