updated_at,rank,ticker,name,recommended_account_type,nisa_priority_score,allocation_candidate_yen,selection_score,long_term_score,sp_excess_score,stability_score,tax_deferral_score,loss_offset_penalty,short_term_trade_penalty,cagr_5y_pct,cagr_10y_pct,sp_excess_5y_pt,sp_excess_1y_pt,max_drawdown_5y_pct,max_drawdown_1y_pct,monthly_win_rate_pct,reason,final_note
2026-06-02,1,8058.T,三菱商事,NISA優先候補,75.1,220000,80.6,70.0,90.0,64.0,50,0,0,42.5,27.5,30.2,49.8,-33.7,-16.8,61.7,再選定点80.6点 / 5年CAGR42.5%・10年CAGR27.5% / S&P差平均40.0pt / 最大下落33.7% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,2,1605.T,INPEX,NISA優先候補,74.6,220000,78.4,62.4,100.0,66.0,50,0,0,43.3,19.1,30.9,73.4,-32.9,-25.3,65,再選定点78.4点 / 5年CAGR43.3%・10年CAGR19.1% / S&P差平均52.2pt / 最大下落32.9% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,3,8316.T,三井住友FG,NISA優先候補,72.5,210000,80.1,62.6,83.4,71.2,50,0,0,39.9,22.7,27.5,39.3,-29.4,-19.3,71.7,再選定点80.1点 / 5年CAGR39.9%・10年CAGR22.7% / S&P差平均33.4pt / 最大下落29.4% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,4,8306.T,三菱UFJ FG,NISAまたは課税口座で再確認,71.2,210000,78.7,64.3,79.3,67.5,50,0,0,41.3,23,29,29.6,-31.8,-16.9,66.7,再選定点78.7点 / 5年CAGR41.3%・10年CAGR23.0% / S&P差平均29.3pt / 最大下落31.8% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,5,8411.T,みずほFG,NISAまたは課税口座で再確認,71.1,210000,75.9,58.4,90.3,69.2,50,0,0,38.3,20.1,26,54.6,-33.4,-24.6,71.7,再選定点75.9点 / 5年CAGR38.3%・10年CAGR20.1% / S&P差平均40.3pt / 最大下落33.4% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,6,8002.T,丸紅,NISAまたは課税口座で再確認,67.2,200000,81.9,76.2,96.3,62.2,50,7,4,45.2,31,32.8,59.7,-37.3,-18.3,61.7,再選定点81.9点 / 5年CAGR45.2%・10年CAGR31.0% / S&P差平均46.3pt / 最大下落37.3% / NISAでは損失通算不可のため下落耐性を追加確認 / 短期変動が大きく一括投入は避ける,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,7,8053.T,住友商事,NISAまたは課税口座で再確認,66.1,190000,82.4,66.8,100.0,65.5,50,7,4,41.2,25.6,28.9,72.3,-35.8,-18.8,66.7,再選定点82.4点 / 5年CAGR41.2%・10年CAGR25.6% / S&P差平均50.6pt / 最大下落35.8% / NISAでは損失通算不可のため下落耐性を追加確認 / 短期変動が大きく一括投入は避ける,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,8,8725.T,MS&AD,NISAまたは課税口座で再確認,65.4,190000,75.4,56.4,65.5,67.8,50,0,0,36.3,20.1,23.9,7.2,-32.6,-12,68.3,再選定点75.4点 / 5年CAGR36.3%・10年CAGR20.1% / S&P差平均15.5pt / 最大下落32.6% / 下落ペナルティ小 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,9,6503.T,三菱電機,NISAまたは課税口座で再確認,64.0,190000,77.8,53.3,100.0,64.7,50,0,8,33.3,20,20.9,101.3,-34,-16.3,63.3,再選定点77.8点 / 5年CAGR33.3%・10年CAGR20.0% / S&P差平均61.1pt / 最大下落34.0% / 下落ペナルティ小 / 短期変動が大きく一括投入は避ける,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
2026-06-02,10,8031.T,三井物産,NISAまたは課税口座で再確認,60.4,160000,76.1,66.3,91.0,60.0,50,12,0,38.5,27.8,26.2,55.8,-41.7,-19.3,61.7,再選定点76.1点 / 5年CAGR38.5%・10年CAGR27.8% / S&P差平均41.0pt / 最大下落41.7% / NISAでは損失通算不可のため下落耐性を追加確認 / 短期変動ペナルティ小,購入判断ではなく、6月イベント後にNISA枠で買う価値を確認するための配分候補。
