ticker,name,cagr5,cagr10,sp500_diff_5y,max_drawdown_5y,reaction_score,confidence,interpretation,caution
8053.T,住友商事,41.2%,25.6%,28.9%,-35.8%,43.7,B,候補として検討可能だが、下落や反応の確認が必要,利回り保証ではない
8316.T,三井住友FG,39.9%,22.7%,27.5%,-29.4%,57.1,A,過去実績と反応の説明力が比較的高い,利回り保証ではない
6501.T,日立製作所,36.5%,28.5%,24.1%,-38.7%,29.1,C,期待リターン仮説として弱く、購入前に追加確認が必要,決算後反応が弱い
6503.T,三菱電機,33.3%,20.0%,20.9%,-34.0%,43.9,B,候補として検討可能だが、下落や反応の確認が必要,利回り保証ではない
6857.T,アドバンテスト,63.2%,58.5%,50.8%,-51.4%,20.4,C,期待リターン仮説として弱く、購入前に追加確認が必要,最大下落が大きい / 決算後反応が弱い
8035.T,東京エレクトロン,29.5%,38.2%,17.1%,-55.8%,68.2,B,候補として検討可能だが、下落や反応の確認が必要,最大下落が大きい
7011.T,三菱重工業,65.9%,27.4%,53.5%,-35.8%,34.5,C,期待リターン仮説として弱く、購入前に追加確認が必要,決算後反応が弱い
6762.T,TDK,34.9%,26.5%,22.6%,-46.3%,91.6,B,候補として検討可能だが、下落や反応の確認が必要,利回り保証ではない
6146.T,ディスコ,45.1%,37.0%,32.7%,-65.2%,32.3,C,期待リターン仮説として弱く、購入前に追加確認が必要,最大下落が大きい / 決算後反応が弱い
5803.T,フジクラ,135.0%,51.5%,122.6%,-50.7%,0,C,期待リターン仮説として弱く、購入前に追加確認が必要,最大下落が大きい / 決算後反応が弱い
