account_id,本人名,証券会社,NISA口座状態,本人スマホ,本人銀行口座,二段階認証,NISA残枠円,特定口座年間実現損益円,NISA保有残高円,課税口座保有残高円,配当受取方式,税制確認,買付反映
口座1,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座2,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座3,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座4,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座5,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座6,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座7,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座8,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座9,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
口座10,,,未確認,未確認,未確認,未確認,,,,,未確認,確認補助のみ,全項目確認まで0円
