ticker,銘柄,リスク階層,5年最大下落,1年最大下落,決算後反応,現在の扱い,初回比率上限,下値ルール1,下値ルール2,上値ルール,ストップ安対応,使う条件
8053.T,住友商事,中,-35.8%,-18.8%,43.7,購入不可,中心候補は18.75%枠まで。ただしイベント後,買付後-7%で追加買付停止,買付後-12%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+20%超で目標比率超過なら一部利確確認。以後、高値から-12%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
8316.T,三井住友FG,中,-29.4%,-19.3%,57.1,購入不可,中心候補は18.75%枠まで。ただしイベント後,買付後-7%で追加買付停止,買付後-12%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+20%超で目標比率超過なら一部利確確認。以後、高値から-12%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
6501.T,日立製作所,中高,-38.7%,-22.8%,29.1,購入不可,初回は6.25%上限,買付後-5%で追加買付停止,買付後-10%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+15%超で目標比率超過なら一部利確確認。以後、高値から-10%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
6503.T,三菱電機,中,-34%,-16.3%,43.9,購入不可,中心候補は18.75%枠まで。ただしイベント後,買付後-7%で追加買付停止,買付後-12%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+20%超で目標比率超過なら一部利確確認。以後、高値から-12%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
6857.T,アドバンテスト,中高,-51.4%,-28.9%,20.4,購入不可,初回は6.25%上限,買付後-5%で追加買付停止,買付後-10%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+15%超で目標比率超過なら一部利確確認。以後、高値から-10%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
8035.T,東京エレクトロン,高,-55.8%,-28.8%,68.2,購入不可,初回は3%上限,買付後-4%で追加買付停止,買付後-8%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+12%超で目標比率超過なら一部利確確認。以後、高値から-8%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
7011.T,三菱重工業,高,-35.8%,-26.6%,34.5,購入不可,初回は3%上限,買付後-4%で追加買付停止,買付後-8%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+12%超で目標比率超過なら一部利確確認。以後、高値から-8%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
6762.T,TDK,中高,-46.3%,-28.2%,91.6,購入不可,初回は6.25%上限,買付後-5%で追加買付停止,買付後-10%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+15%超で目標比率超過なら一部利確確認。以後、高値から-10%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
6146.T,ディスコ,高,-65.2%,-24.7%,32.3,購入不可,初回は3%上限,買付後-4%で追加買付停止,買付後-8%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+12%超で目標比率超過なら一部利確確認。以後、高値から-8%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
5803.T,フジクラ,高,-50.7%,-45.3%,0,購入不可,初回は3%上限,買付後-4%で追加買付停止,買付後-8%で保有理由を再確認。指数劣後または悪材料ありなら一部縮小候補,買付後+12%超で目標比率超過なら一部利確確認。以後、高値から-8%で利益保全確認,当日買い増し禁止。翌営業日に材料、出来高、指数、気配、決算影響を確認して再判定,イベント・口座・公式財務のゲートが通るまで注文票へ反映しない
