ticker_a,name_a,sector_a,ticker_b,name_b,sector_b,correlation_value,method,observations,risk_comment
8053.T,住友商事,商社,8316.T,三井住友FG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8053.T,住友商事,商社,8058.T,三菱商事,商社,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
8053.T,住友商事,商社,6501.T,日立製作所,AIインフラ,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
8053.T,住友商事,商社,6503.T,三菱電機,AIインフラ,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
8053.T,住友商事,商社,8031.T,三井物産,商社,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
8053.T,住友商事,商社,8411.T,みずほFG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8053.T,住友商事,商社,6762.T,TDK,その他,0.56,業種proxy: 資源・景気・為替連動,0,中: 同テーマ・同業の連動を監視
8053.T,住友商事,商社,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8316.T,三井住友FG,金融,8058.T,三菱商事,商社,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8316.T,三井住友FG,金融,6501.T,日立製作所,AIインフラ,0.26,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
8316.T,三井住友FG,金融,6503.T,三菱電機,AIインフラ,0.43,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
8316.T,三井住友FG,金融,8031.T,三井物産,商社,0.13,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
8316.T,三井住友FG,金融,8411.T,みずほFG,金融,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
8316.T,三井住友FG,金融,6762.T,TDK,その他,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8316.T,三井住友FG,金融,8750.T,第一生命HD,金融,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
8058.T,三菱商事,商社,6501.T,日立製作所,AIインフラ,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
8058.T,三菱商事,商社,6503.T,三菱電機,AIインフラ,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
8058.T,三菱商事,商社,8031.T,三井物産,商社,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
8058.T,三菱商事,商社,8411.T,みずほFG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8058.T,三菱商事,商社,6762.T,TDK,その他,0.56,業種proxy: 資源・景気・為替連動,0,中: 同テーマ・同業の連動を監視
8058.T,三菱商事,商社,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
6501.T,日立製作所,AIインフラ,6503.T,三菱電機,AIインフラ,0.32,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
6501.T,日立製作所,AIインフラ,8031.T,三井物産,商社,-0.17,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
6501.T,日立製作所,AIインフラ,8411.T,みずほFG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
6501.T,日立製作所,AIインフラ,6762.T,TDK,その他,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
6501.T,日立製作所,AIインフラ,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
6503.T,三菱電機,AIインフラ,8031.T,三井物産,商社,0.21,実測: 週次リターン48本,48,低〜中: 分散効果を期待。ただし市場急落時は連動
6503.T,三菱電機,AIインフラ,8411.T,みずほFG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
6503.T,三菱電機,AIインフラ,6762.T,TDK,その他,0.58,テーマproxy: AI・半導体・電力周辺の同時連動,0,中: 同テーマ・同業の連動を監視
6503.T,三菱電機,AIインフラ,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8031.T,三井物産,商社,8411.T,みずほFG,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8031.T,三井物産,商社,6762.T,TDK,その他,0.56,業種proxy: 資源・景気・為替連動,0,中: 同テーマ・同業の連動を監視
8031.T,三井物産,商社,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8411.T,みずほFG,金融,6762.T,TDK,その他,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
8411.T,みずほFG,金融,8750.T,第一生命HD,金融,0.78,業種proxy: 同業のため高めに仮置き,0,高: 同時下落時は片方または両方を減額候補
6762.T,TDK,その他,8750.T,第一生命HD,金融,0.62,業種proxy: 金利・信用サイクル連動,0,中: 同テーマ・同業の連動を監視
