ticker,name,priority,missing_area,missing_items,data_sources,impact
8058.T,三菱商事,中,公式照合,公式決算原本照合 / 売上前年比 / 利益前年比,補助財務 / 補助イベント反応 / 補助質的 / 価格,監視精度に影響
6503.T,三菱電機,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
8031.T,三井物産,中,公式照合 / イベント,公式決算原本照合,補助財務 / 補助質的 / 価格,監視精度に影響
6762.T,TDK,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
8411.T,みずほFG,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
8750.T,第一生命HD,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
8306.T,三菱UFJ FG,中,公式照合,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的 / 価格,監視精度に影響
5020.T,ENEOS HD,中,公式照合 / 価格,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
6971.T,京セラ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
7012.T,川崎重工業,中,公式照合 / 価格,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
1605.T,INPEX,中,公式照合 / イベント / 質的,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 価格,監視精度に影響
5801.T,古河電工,中,公式照合 / 価格,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
8002.T,丸紅,中,公式照合 / 質的,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,監視精度に影響
2802.T,味の素,中,公式照合 / 価格,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
8001.T,伊藤忠商事,中,公式照合 / イベント,公式決算原本照合,補助財務 / 補助質的 / 価格,監視精度に影響
8725.T,MS&AD,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
9983.T,ファーストリテイリング,中,公式照合 / 質的 / 価格,公式決算原本照合,補助財務 / 補助イベント反応,監視精度に影響
4063.T,信越化学工業,中,公式照合,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的 / 価格,監視精度に影響
1812.T,鹿島,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
