review_point,review_date,ticker,name,actual_return_pct,benchmark_return_pct,excess_return_pct,decision,action,missing_input,calculation_basis
D+1営業日,2026-06-22,PORTFOLIO,全体,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,銘柄実績または指数値,各銘柄実績を初回金額で加重平均。指数は全体行入力、未入力なら個別指数を加重平均。
D+1営業日,2026-06-22,8053.T,住友商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,8316.T,三井住友FG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,8058.T,三菱商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,6501.T,日立製作所,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,6503.T,三菱電機,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,8031.T,三井物産,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,8411.T,みずほFG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,6762.T,TDK,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+1営業日,2026-06-22,8750.T,第一生命HD,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,PORTFOLIO,全体,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,銘柄実績または指数値,各銘柄実績を初回金額で加重平均。指数は全体行入力、未入力なら個別指数を加重平均。
D+5営業日,2026-06-26,8053.T,住友商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,8316.T,三井住友FG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,8058.T,三菱商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,6501.T,日立製作所,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,6503.T,三菱電機,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,8031.T,三井物産,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,8411.T,みずほFG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,6762.T,TDK,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+5営業日,2026-06-26,8750.T,第一生命HD,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,PORTFOLIO,全体,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,銘柄実績または指数値,各銘柄実績を初回金額で加重平均。指数は全体行入力、未入力なら個別指数を加重平均。
D+20営業日,2026-07-17,8053.T,住友商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,8316.T,三井住友FG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,8058.T,三菱商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,6501.T,日立製作所,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,6503.T,三菱電機,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,8031.T,三井物産,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,8411.T,みずほFG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,6762.T,TDK,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
D+20営業日,2026-07-17,8750.T,第一生命HD,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,PORTFOLIO,全体,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,銘柄実績または指数値,各銘柄実績を初回金額で加重平均。指数は全体行入力、未入力なら個別指数を加重平均。
1年,2027-06-19,8053.T,住友商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,8316.T,三井住友FG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,8058.T,三菱商事,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,6501.T,日立製作所,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,6503.T,三菱電機,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,8031.T,三井物産,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,8411.T,みずほFG,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,6762.T,TDK,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
1年,2027-06-19,8750.T,第一生命HD,,,,未入力,実績価格を入力するまで次回買付判断に進まない。,実績価格または指数値,実績%=(確認日価格/約定価格-1)*100、指数差=実績%-指数%
