ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
8053.T,住友商事,商社,購入候補,68.6,66.4,59.8,81.0,78.0,52.6,82.1,53.1,57.6,100.0,16.03,67.5,31.6,15.0,82.4,再選定候補,pass,総合候補/主候補,確認 / -0.61%,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,6514.0,2026-06-18 15:09,,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
8316.T,三井住友FG,金融,購入候補,67.7,65.4,51.1,86.0,70.0,72.2,81.4,58.6,46.9,100.0,15.71,67.2,30.0,12.3,80.1,再選定候補,pass,総合候補/主候補,確認 / 4.31%,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,6712.0,2026-06-18 15:09,,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
6501.T,日立製作所,AIインフラ,購入候補,59.2,57.0,41.7,73.0,70.0,63.4,72.8,47.4,34.6,100.0,11.4,63.9,27.6,16.3,69.8,再選定候補,pass,データセンター・電力・冷却・電線/主候補,確認 / 2.11%,36.5,28.5,31.9,1.1,24.1,4.4,-38.7,-22.8,4745.0,2026-06-18 15:09,,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
6503.T,三菱電機,AIインフラ,小口,58.0,62.1,61.9,51.0,64.0,68.2,75.3,56.6,61.9,88.0,12.67,65.9,27.2,14.3,77.8,再選定候補,partial,総合候補/複合候補,確認 / 3.29%,33.3,20.0,128.8,12.3,20.9,101.3,-34.0,-16.3,6080.0,2026-06-18 15:09,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
6762.T,TDK,その他,小口,56.4,60.5,68.4,51.0,56.0,57.6,74.3,36.4,68.1,88.0,12.17,65.3,29.6,19.4,66.1,再選定候補,partial,フィジカルAI/数値確認済み,確認 / 0.65%,34.9,26.5,146.4,57.7,22.6,118.9,-46.3,-28.2,3893.0,2026-06-18 15:09,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減
8002.T,丸紅,商社,調査優先,53.5,53.7,56.9,55.0,50.0,50.0,81.3,52.1,56.0,48.0,15.63,62.6,34.9,15.7,81.9,再選定候補,未取得,質的データ未接続,イベント未接続,45.2,31.0,87.2,-11.5,32.8,59.7,-37.3,-18.3,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
1605.T,INPEX,資源,調査優先,53.5,54.4,57.2,55.0,50.0,50.0,76.7,50.9,59.0,56.0,13.35,62.9,30.0,13.8,78.4,再選定候補,未取得,質的データ未接続,イベント未接続,43.3,19.1,100.9,0.2,30.9,73.4,-32.9,-25.3,3447.0,2026-06-18 15:09,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8058.T,三菱商事,商社,調査優先,52.6,53.0,54.9,55.0,50.0,50.0,79.0,56.5,51.6,48.0,14.49,62.4,32.4,14.2,80.6,再選定候補,未取得,質的データ未接続,イベント未接続,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8031.T,三井物産,商社,監視,50.7,51.5,52.6,55.0,50.0,50.0,74.3,47.3,51.2,48.0,12.14,61.8,31.1,17.5,76.1,再選定候補,未取得,質的データ未接続,イベント未接続,38.5,27.8,83.4,-5.8,26.2,55.8,-41.7,-19.3,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8411.T,みずほFG,金融,監視,50.6,51.5,51.9,55.0,50.0,50.0,73.5,50.9,50.7,48.0,11.76,61.8,28.4,14.0,75.9,再選定候補,未取得,質的データ未接続,イベント未接続,38.3,20.1,82.1,2.3,26.0,54.6,-33.4,-24.6,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
