audit_rank,ticker,name,sector,universe_status,reselect_score,final_score,action,audit_status,in_portfolio,price_ready,official_financial_ready,event_ready,qualitative_ready,missing_gate,reason,next_action
1,8053.T,住友商事,商社,再選定候補,82.4,68.6,購入候補,初回買付候補,YES,YES,YES,YES,YES,なし,主要ゲート上は大きな停止理由なし,初回小口候補
2,8316.T,三井住友FG,金融,再選定候補,80.1,67.7,購入候補,初回買付候補,YES,YES,YES,YES,YES,なし,主要ゲート上は大きな停止理由なし,初回小口候補
3,8058.T,三菱商事,商社,再選定候補,80.6,60.4,調査優先,条件付き配分候補,YES,YES,NO,YES,YES,公式財務,財務は補助データ,不足確認後に再判定
4,6501.T,日立製作所,AIインフラ,再選定候補,69.8,59.2,購入候補,初回買付候補,YES,YES,YES,YES,YES,なし,主要ゲート上は大きな停止理由なし,初回小口候補
5,6503.T,三菱電機,AIインフラ,再選定候補,77.8,58.0,小口,条件付き配分候補,YES,YES,NO,YES,YES,公式財務,財務partial,不足確認後に再判定
6,8031.T,三井物産,商社,再選定候補,76.1,57.3,調査優先,条件付き配分候補,YES,YES,NO,NO,YES,公式財務 / イベント,財務は補助データ,不足確認後に再判定
7,8411.T,みずほFG,金融,再選定候補,75.9,56.5,調査優先,条件付き配分候補,YES,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,財務は補助データ,不足確認後に再判定
8,6762.T,TDK,その他,再選定候補,66.1,56.4,小口,条件付き配分候補,YES,YES,NO,YES,YES,公式財務,財務partial,不足確認後に再判定
9,8750.T,第一生命HD,金融,再選定候補,72.2,53.5,調査優先,条件付き配分候補,YES,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,財務は補助データ,不足確認後に再判定
10,8306.T,三菱UFJ FG,金融,再選定候補,78.7,53.4,監視,監視/除外,NO,YES,NO,YES,YES,公式財務,財務補助データに注意,監視または候補外
11,5020.T,ENEOS HD,資源,再選定候補,73.5,52.4,監視,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,財務補助データに注意,監視または候補外
12,5801.T,古河電工,AIインフラ,監視,84.5,50.2,監視,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
13,6971.T,京セラ,その他,再選定候補,69.5,50.1,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,財務は補助データ,監視または候補外
14,7012.T,川崎重工業,防衛・重工,再選定候補,69.3,49.9,監視,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,財務補助データに注意,監視または候補外
15,1605.T,INPEX,資源,再選定候補,78.4,49.8,監視,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,財務補助データに注意,監視または候補外
16,8002.T,丸紅,商社,再選定候補,81.9,48.4,監視,監視/除外,NO,YES,NO,YES,NO,公式財務 / 質的根拠,財務補助データに注意,監視または候補外
17,2802.T,味の素,その他,再選定候補,68.0,48.1,監視,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,財務補助データに注意,監視または候補外
18,8001.T,伊藤忠商事,商社,再選定候補,71.0,47.4,監視,監視/除外,NO,YES,NO,NO,YES,公式財務 / イベント,財務補助データに注意,監視または候補外
19,8725.T,MS&AD,金融,再選定候補,75.4,47.2,監視,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,財務補助データに注意,監視または候補外
20,9983.T,ファーストリテイリング,その他,再選定候補,70.1,44.8,監視,監視/除外,NO,NO,NO,YES,NO,価格 / 公式財務 / 質的根拠,財務補助データに注意,監視または候補外
21,1812.T,鹿島,その他,再選定候補,70.4,44.2,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,財務補助データに注意,監視または候補外
22,4063.T,信越化学工業,その他,再選定候補,61.1,43.7,監視,監視/除外,NO,YES,NO,YES,YES,公式財務,財務補助データに注意,監視または候補外
23,5802.T,住友電工,AIインフラ,監視,83.7,41.9,監視,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
24,5019.T,出光興産,資源,再選定候補,65.6,41.6,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,財務補助データに注意,監視または候補外
25,6301.T,コマツ,その他,再選定候補,62.0,40.2,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,財務補助データに注意,監視または候補外
26,6857.T,アドバンテスト,半導体,監視,73.1,36.6,監視,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で監視 / 財務partial / 価格過熱・反動・指数劣後注意,監視または候補外
27,6981.T,村田製作所,その他,監視,70.0,35.4,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
28,8035.T,東京エレクトロン,半導体,監視,66.5,35.0,監視,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で監視 / 財務partial / 価格過熱・反動・指数劣後注意,監視または候補外
29,7735.T,SCREEN HD,半導体,監視,67.9,32.4,監視,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
30,6723.T,ルネサス,その他,監視,62.0,30.7,監視,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
31,6920.T,レーザーテック,その他,監視,61.9,22.0,監視,監視/除外,NO,YES,NO,YES,NO,公式財務 / 質的根拠,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
32,5803.T,フジクラ,AIインフラ,除外,74.1,16.0,買付不可,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,監視または候補外
33,8766.T,東京海上HD,金融,除外,68.3,15.3,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
34,7011.T,三菱重工,AIインフラ,除外,70.2,11.5,買付不可,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,監視または候補外
35,7013.T,IHI,防衛・重工,除外,61.1,11.2,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
36,6146.T,ディスコ,半導体,除外,72.3,10.4,買付不可,監視/除外,NO,YES,NO,YES,YES,公式財務,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,監視または候補外
37,6954.T,ファナック,その他,除外,54.5,9.4,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
38,9984.T,ソフトバンクG,その他,除外,58.0,9.0,買付不可,監視/除外,NO,YES,NO,YES,NO,公式財務 / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
39,1802.T,大林組,その他,除外,68.1,7.9,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
40,1801.T,大成建設,その他,除外,66.4,6.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
41,9434.T,ソフトバンク,その他,除外,63.9,5.8,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
42,9432.T,NTT,その他,除外,49.8,5.3,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
