優先度,作業番号,作業チケット,対象,入力先,欠けているもの,完了条件,完了後の扱い,優先理由,期限目安,現在の影響,次アクション
P0,P0-01,6月イベント,E01 米5月CPI,redecision_event_input_template_20260614.csv / 102_june_event_result_input.csv,入力する実数,実数、市場反応、判定入力が入り、赤停止でないこと。,全体ゲートを緑・黄・赤に分類,未入力が残ると全銘柄0円のまま。最初に確認する全体停止条件。,イベント当日から翌営業日,全銘柄0円継続,実数、反応、判定を入力
P0,P0-02,6月イベント,E02 日銀会合,redecision_event_input_template_20260614.csv / 102_june_event_result_input.csv,入力する実数 / 市場反応 / 判定入力,実数、市場反応、判定入力が入り、赤停止でないこと。,全体ゲートを緑・黄・赤に分類,未入力が残ると全銘柄0円のまま。最初に確認する全体停止条件。,イベント当日から翌営業日,全銘柄0円継続,実数、反応、判定を入力
P0,P0-03,6月イベント,E03 FOMC,redecision_event_input_template_20260614.csv / 102_june_event_result_input.csv,入力する実数 / 市場反応 / 判定入力,実数、市場反応、判定入力が入り、赤停止でないこと。,全体ゲートを緑・黄・赤に分類,未入力が残ると全銘柄0円のまま。最初に確認する全体停止条件。,イベント当日から翌営業日,全銘柄0円継続,実数、反応、判定を入力
P0,P0-04,6月イベント,E04 最終購入前確認,redecision_event_input_template_20260614.csv / 102_june_event_result_input.csv,入力する実数 / 市場反応 / 判定入力,実数、市場反応、判定入力が入り、赤停止でないこと。,全体ゲートを緑・黄・赤に分類,未入力が残ると全銘柄0円のまま。最初に確認する全体停止条件。,イベント当日から翌営業日,全銘柄0円継続,実数、反応、判定を入力
P0,P0-05,本人別NISA口座,口座1,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-06,本人別NISA口座,口座2,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-07,本人別NISA口座,口座3,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-08,本人別NISA口座,口座4,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-09,本人別NISA口座,口座5,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-10,本人別NISA口座,口座6,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
